# Epicenters of shear wave splitting measurements at recording station STU
longitude	latitude	moment_magnitude	hypocentral_depth_km
179.33	-18.49	7.89333543430244	608.6
119.98	0.72	7.86398639799312	33
140.49	27.84	7.85910762343574	664
-69.2	-19.99	7.75404991347691	115.6
145.51	18.54	7.72027446247657	196
123.47	6.49	7.64430611416127	585.8
143.73	22.34	7.60676665221327	126.5
152.57	-4.08	7.60622327453498	10
-76.4	-5.68	7.49630096087096	115
126.29	1.21	7.4724186509226	10
-31.88	-55.28	7.4617185393858	10
-173.59	-15.19	7.34147331309858	31
168.89	-20.07	7.30615327324227	33
103.98	-2.43	7.27573344784128	582.1
168.07	-17.54	7.27373963024019	25
122.62	4.48	7.27086728868028	627.2
145.36	18.9	7.24867714266243	223.2
-66.45	-23.55	7.15100901893651	225
167.51	-16.62	7.15100901893651	33
-179.09	-17.55	7.14078664932259	537.2
-73.35	-38.37	7.13746522297276	24
169.41	-20.6	7.11757798057185	35
167.3	-14.86	7.10892129451645	135
126.42	1.59	7.10140062090999	45.1
-70.82	-11.04	7.0930932259918	609.5
146.8	-7.56	7.08694770004951	140.9
123.34	5.29	7.0822790945531	525
-178.76	-17.66	7.05749415825039	565.5
150.88	-5.16	7.04954458704407	138
-70.21	-23.91	7.03426915081538	42
-63.09	-26.79	7.02932543956246	576.8
-74.53	-7.64	7.02348294050162	147
167.17	-14.93	7.01745085451669	103
167.38	-15.15	7.01606222041783	123.1
166.16	-11.04	7.0146668940806	110.2
107.3	-7.78	6.97644485225871	46
126.83	5.97	6.96703633815604	60.1
127.49	2.8	6.93230536733012	44.6
-62.99	-28.31	6.92903381100029	608.5
130.38	-6.13	6.91654801065211	130
-72.07	-33.04	6.85909057890792	28
-71.74	-8.3	6.85559860063209	534.3
-63.47	-24.98	6.84208352351776	579.1
-63.02	-20.65	6.83721951572198	562.4
-73.57	-14.6	6.83527679100113	101
145.29	18.75	6.8288381534975	601.8
-63.29	-26.08	6.82116358637688	550.4
159.53	-9.61	6.81257814691277	16
-176.94	-18.06	6.81257814691277	351.8
-71.87	-30.06	6.79370487267185	19
-67.89	-22.32	6.79129462229388	162.6
168.52	-17.03	6.78254126915985	220
152.79	-3.68	6.78050727781174	476
153.2	-4.39	6.77987854867303	15.2
153.95	-3.98	6.77987854867303	386
167.38	-14.59	6.77559853606367	169
126.57	1.96	6.77543879556053	39
122.37	4.08	6.7714163683371	574
-71.57	-8.14	6.77109214696547	575.3
143.18	12.52	6.75129039988533	76
125.36	12.38	6.7264609538784	33
170.61	-21.98	6.71781763576882	68
101.41	-2.09	6.71487822316545	33
-70.18	-22.95	6.71369405114825	45
169.29	-20.44	6.71091200148998	57
142.43	-3.21	6.70689069164337	11
-63.07	-28.4	6.69469163652634	577.8
-66.69	-23.11	6.68936337325864	223
100.57	-2.21	6.68850167722198	50.8
-63.08	-28.06	6.68305718330786	588
101.9	-4.61	6.67480664643191	33
167.26	-14.38	6.67367345651331	207.9
166.57	-14.11	6.6732189357691	33.7
167.3	-14.7	6.66770829224942	164
167.13	-13.48	6.66561445677482	200
-174.73	-18.64	6.65418417026948	129.4
-71.5	-28.96	6.64101581605273	20
-173.13	-15.27	6.6356278690336	41
170.35	-21.5	6.63197938226212	105.3
123.38	6.74	6.62481046886532	620
-68.79	-13.74	6.62129441863935	586
168	-16.2	6.61801049321181	181
-73.41	-37.69	6.61580033244416	21
123.25	6.53	6.61132874310617	627.4
108.16	-4.86	6.61048257692785	614
126.74	2.22	6.60849851866716	60
153.27	-4.79	6.60448914187267	34
127.36	1.88	6.58603393519525	96
131.26	-0.62	6.58541856906647	18
145.87	16.01	6.58418389915873	142.7
152.24	-3.36	6.57919188489704	414.6
-66.89	-24.32	6.57824622378001	156.8
110.33	-5.77	6.57379183354233	643
-65.09	-15.36	6.5696909155841	549.9
123.52	6.22	6.5682891479247	553
144.83	21.1	6.56632178143344	49.8
152.88	-5.16	6.5600021009691	27
-70.09	-23.94	6.55388504974983	50
-27.06	-56.42	6.54049461826107	87.7
-73.99	-16.09	6.53763888093074	62
-68.23	-21.7	6.52923544465529	128
-69.17	-18.9	6.52690748002101	128.1
112.41	-8.19	6.52577429010241	151.6
151.12	-6.47	6.52452263706225	10
139.73	27.74	6.51825959227855	460
145.46	17.44	6.50457973381985	149
125.42	12.02	6.4961091219431	35
-178.84	-17.96	6.48733998519407	544
168.6	-21.5	6.47484290351741	13
-179.39	-19.32	6.45893552074838	687.6
125.19	11.85	6.45485452778068	54
-68.33	-21.66	6.44958488405076	125.1
128.13	-1.69	6.4489934034475	53
144.41	19.89	6.44854899867168	410
167.23	-13.57	6.44596788402222	176
-78.7	-10.53	6.44461855894702	73
-69.17	-18.35	6.43520006057625	130
-63.38	-26.65	6.43390346344916	565
153.21	-4.78	6.42960940179913	34
-73.81	-36.36	6.41655219083622	11
-68.64	-31.63	6.41350068591923	108
120.53	13.93	6.41283060734526	105
104.71	-5.89	6.41007824340787	101.4
126.64	5.51	6.40951330731722	33
127.42	6.16	6.40712846435847	21.4
139.29	29.06	6.40610034455987	430.3
-65.75	-22.27	6.40547024713032	289.6
147.26	-6.15	6.40437865670395	75
167.2	-13.17	6.40397545210637	228.4
126.91	-0.95	6.40136992818172	17
124.03	6.27	6.39537579796423	13
126.1	1.73	6.39263142050101	103
-74.38	-7.64	6.3882829584675	154
-70.09	-33.88	6.38596133242272	120.2
-66.66	-23.86	6.38559305212554	222
-67.28	-20.93	6.3708520093321	218
-26.85	-56.45	6.36910179675415	84
169.8	-21.67	6.36225960511022	20
167.36	-14.66	6.36112563196885	162.7
-177.52	-16.54	6.35816985112314	15.5
110.45	-7.96	6.35347301692125	12.5
99.69	-1.16	6.34820995553219	43.1
110.29	-8.01	6.34227936754485	17.1
-71.38	-29.67	6.34020336409407	71
140.27	29.36	6.33687955316778	39.5
126.1	0.44	6.33505700116814	33
166.79	-13.57	6.32922115039614	33
-71.05	-35.1	6.32742468348719	90
126.43	1.88	6.32652225266434	41.5
-173.93	-17.18	6.32546584931241	56
-72.08	-30.05	6.32265522846853	10.1
-68.33	-22.23	6.3219674184865	114
34.83	-46.04	6.30777617474838	10
127.72	4.54	6.30672963238555	89.5
-172.96	-15.38	6.30348556870339	11.5
167.74	-17.29	6.29763628583173	33
-63.22	-26.74	6.28374301458549	569.6
-69.75	-18.57	6.277654859084	85
126.41	3.79	6.277654859084	21.9
142.01	24.94	6.27152701860985	510
-67.12	-32.72	6.27116248641866	172
-67.77	-23.27	6.27052344861164	155
-69.34	-18.04	6.26161414090632	118
-71.86	-30.52	6.25474750314644	33
142.59	24.4	6.2497831817012	43.2
142.44	26.82	6.24443237870897	15
-78.9	-2.35	6.23755053899301	93.5
138.86	28.35	6.23580421327005	512.4
145.63	18.73	6.23373613551573	177
-68.2	-22.15	6.22563319584106	115
166.87	-13.61	6.22316818666827	43.5
-69.28	-19.53	6.22133263917102	91
-72.07	-32.33	6.22057343005189	18
33.8	-46.35	6.22002991636759	10
-173.62	-15.3	6.21981222488771	37
-71.75	-15.99	6.21309276449134	123
138.97	29.28	6.20995541555419	426.1
179.8	-15.74	6.20079956473049	33
-173.44	-15.28	6.19846463550644	17
169.11	-19.96	6.18478352407671	36
-73.41	-37.03	6.17945042184708	16
-72.39	-28.66	6.1768097421969	35
-173.75	-15.14	6.16848014468936	33
-66.64	-22.97	6.16560572920257	220.4
102.1	-4.96	6.16230432906973	33
-28.9	-55.9	6.16230432906973	36
-72.52	-15.92	6.15721297766389	99.7
-68.96	-20.04	6.15599390363295	120
126.55	6.26	6.15299215553844	90.2
-107.3	18.78	6.15161736827064	20
-70.44	-15.04	6.14633281864877	198.9
111.86	-6.06	6.14464377357891	611.8
147.34	-5.03	6.14450257403717	31.2
-70.59	-23.32	6.14450257403717	33
-66.01	-22.33	6.14308677828393	270
-71.4	-16.12	6.13879737161366	136.2
148.48	-3.11	6.13850913898199	10
168.5	-15.39	6.13604750668494	46.4
166.42	-11.5	6.13590205093981	148
128.22	3.04	6.11036558175799	100
-72.23	-32.37	6.10198217757454	8
169.37	-21.28	6.09012891924603	21.1
-179.53	-15.77	6.08859113640911	33
-70.65	-26.11	6.07830264069352	68.5
-25.47	-57.78	6.07634334302842	33
140.27	29.92	6.07292755461286	139.5
-68.39	-21.35	6.07274665510395	130.1
126.68	4.14	6.07220327742565	25
119.96	-7.26	6.06818703875041	536.8
126.08	10.39	6.06597265201279	54.4
126.36	1.09	6.06168048055764	33
-62.94	-28.38	6.05406083937045	609.8
-66.25	-19.52	6.05212417894151	273.9
-74.36	-7.93	6.05173528747324	152.9
-174	-17.37	6.04762007589552	69
-71.91	-30.46	6.04623523718962	33
102.22	-2.54	6.0458383493213	151
167.19	-14.31	6.04444494162516	115
-70.77	-35.99	6.04404559031412	7
-28.03	-56.02	6.03941301701056	140.2
140.46	26.27	6.03614607510359	388
170.39	-21.82	6.03614607510359	75
-67	-24.22	6.02760229875599	196.2
169.82	-21.61	6.02355584566334	33
-66.32	-22.64	6.0216191852344	246.4
151.48	-6.01	6.02053763875968	6
-71.77	-15.64	6.01617059285196	6.6
126.04	11.77	6.01016861156894	33
171.48	-22.19	6.00971903126959	108
-27.08	-56.29	6.00335048673857	94.1
145.17	18.46	6.00127334200537	519.8
