# Epicenters of shear wave splitting measurements at recording station BFO
longitude	latitude	moment_magnitude	hypocentral_depth_km
-72.71	-35.85	8.78269713977175	44.8
-67.56	-13.83	8.21663716565984	637
97.45	-13.8	7.86878432233178	10
119.98	0.72	7.86398639799312	33
102.09	-4.72	7.85182588498178	33
122.59	-7.14	7.84554857341364	587
153.1	-5.23	7.81060285377913	30
-69.2	-19.99	7.75404991347691	115.6
144.78	12.96	7.7473355624232	61
-69.89	-22.25	7.72204193664956	40
145.53	18.51	7.71534198109455	212.4
107.41	-9.25	7.71215308968858	34
-75.68	-14.99	7.7099441333799	33
124.89	-2.07	7.70418534266543	33
-70.14	-20.4	7.66098318571427	40
126.64	10.81	7.62175326724756	28
-72.08	-17.54	7.60676665221327	33
143.73	22.34	7.60676665221327	126.5
99.87	-0.72	7.56130488711297	81
-70.9	-10.55	7.54908845823604	600.6
107.68	-5.93	7.54159393631382	291.2
123.57	-1.11	7.52825988422582	26
-79.57	-9.62	7.50220324203211	33
-76.4	-5.68	7.49630096087096	115
154.93	-6.72	7.48986968144271	30.9
-31.87	-55.28	7.47882286112981	10
142.65	22	7.46981676931709	276.1
126.28	1.07	7.46689809888908	22
124.25	6.03	7.46186781995348	31
123.91	-4.1	7.44967529614528	33
126.58	6.9	7.42869740208586	33
152.56	-4.76	7.42617608291919	40
149.57	-5.59	7.39122905862985	150
133.3	-0.69	7.37029960630725	23
-21.58	-60.93	7.36199115514902	10
-75.05	-37.77	7.35923875013556	41.7
122.09	1.27	7.34862255669309	30
139.56	28.86	7.31471390403025	394.8
123.41	6.72	7.30920365778394	607.1
103.98	-2.43	7.27573344784128	582.1
122.62	4.48	7.27086728868028	627.2
178.34	-17.24	7.27	590.9
135.02	-4	7.26355923652507	10
129.22	-6.39	7.26326304247918	208.2
145.36	18.9	7.24867714266243	223.2
119.74	15.77	7.23626000442994	33
155	-6.52	7.18863130108613	44
-26.89	-56.2	7.18570206234241	72.7
-66.45	-23.55	7.15100901893651	225
-179.09	-17.55	7.14078664932259	537.2
146.44	-6.98	7.14006191889511	126.9
-73.35	-38.37	7.13746522297276	24
147.87	-5.49	7.13392001156272	179.3
-74.71	-15.77	7.12816525355463	39
-25.33	-56.04	7.12306432750522	33
-72.22	-35.2	7.12103727380217	40.7
126.4	3.88	7.11669436954644	22
-65.72	-22	7.11178570915163	276
129.93	-6.53	7.10897179240698	201.7
167.3	-14.86	7.10892129451645	135
-26.47	-58.6	7.10531324335272	164.7
124.12	9.88	7.10284827219895	19
129.82	-6.53	7.10145244757344	155
126.42	1.59	7.10140062090999	45.1
-70.82	-11.04	7.0930932259918	609.5
85.09	-47.64	7.08895663398284	10
123.34	5.29	7.0822790945531	525
121.09	13.53	7.07617997398389	33
155.06	-6.62	7.07046914476334	50
-71.22	-30.93	7.0646434018449	58
121.94	5.4	7.0646434018449	33
125.15	12.61	7.06109084617486	33
-178.76	-17.66	7.05749415825039	565.5
129.18	-6.94	7.05139857195714	150
-74.56	-15.85	7.04523482217653	45.8
125.31	12.62	7.04073213467522	33
152.49	-4.75	7.03687168208796	73.7
-70.21	-23.91	7.03426915081538	42
-70.13	-14.68	7.03295905964523	257.4
169.72	-20.67	7.03091663012808	185.1
-63.09	-26.79	7.02932543956246	576.8
144.62	13.09	7.02564563705306	85.7
-74.53	-7.64	7.02348294050162	147
167.17	-14.93	7.01745085451669	103
167.38	-15.15	7.01606222041783	123.1
166.16	-11.04	7.0146668940806	110.2
122.54	1.24	7.01396670110427	24
144.98	12.69	6.98213448271133	37
154.55	-7.23	6.98166459406948	23.2
141.93	-2.96	6.97977737616806	10
107.3	-7.78	6.97644485225871	46
120.45	1	6.97500480127044	33
138.48	-3.52	6.9724268908209	66
-22.1	-58.22	6.96078635475815	19
126.62	7.23	6.95422618492656	33
-66.64	-23.22	6.95249764454104	238
-75.97	-14.44	6.95093308541025	24
127.46	2.87	6.93755545243038	25
128.85	2.35	6.93100117749155	31
-62.99	-28.31	6.92903381100029	608.5
166.97	-13.5	6.92752584064038	110
150.43	-5.97	6.92657935514693	28
130.38	-6.13	6.91654801065211	130
125.98	0.48	6.90757735541936	33
-107.35	18.99	6.89831984604297	33
-63.06	-28.5	6.89831984604297	605
126.76	-6.36	6.88582483332155	469.6
-47.06	-60.26	6.88031611207282	10
-63.17	-28.3	6.87322247774662	573
-69.39	-13.31	6.86862667244802	589
146.03	-5.93	6.86862667244802	24
-28.45	-55.51	6.86313169880426	16.5
147.12	-5.46	6.85921024398695	198
-71.89	-34.29	6.85499225558409	11
-73.12	-36.47	6.84611708851375	27.6
-63.47	-24.98	6.84208352351776	579.1
123.71	6.76	6.84030101341768	565.8
-63.22	-26.04	6.83991761501082	551.8
135.09	-4.15	6.83812167874091	33
-63.02	-20.65	6.83721951572198	562.4
104.24	-5.05	6.83683201222278	15
127.65	7.74	6.83553657536544	10
-73.58	-14.59	6.83397436120876	101
-113.44	-22.12	6.82763982256569	10
8.7	-53.53	6.82657045974486	11.7
145.29	18.73	6.82428486434716	602.2
169.16	-18.81	6.82225306895916	204
126.76	5.41	6.8167641907407	50
-72.11	-29.44	6.81439953472924	10
-176.94	-18.06	6.81257814691277	351.8
129.48	-4.12	6.80818803135556	33.9
-70.24	-22.92	6.80775962734951	26
-72.66	-16.66	6.79964415077439	87.2
-71.87	-30.06	6.79370487267185	19
-67.89	-22.32	6.79129462229388	162.6
139.15	28.36	6.78977796269897	486.7
152.79	-3.69	6.7854885560287	499.1
168.52	-17.03	6.78254126915985	220
154.93	-6.45	6.78113464458939	35
126.9	6.63	6.77987854867303	33
153.95	-3.98	6.77987854867303	386
167.38	-14.59	6.77559853606367	169
-14.7	-58.17	6.77270963527623	10
122.37	4.08	6.7714163683371	574
-72.42	-13.29	6.77028000153926	85
126.55	1.98	6.76766572053053	41.1
-178.9	-17.9	6.76766572053053	533.6
-71.71	-31.54	6.7666792471585	30.1
-71.64	-30.61	6.76568940122137	33
105.63	-6.55	6.76035229793836	38
127.99	-1.22	6.75696594758551	31
-28.98	-55.37	6.75146403086781	10
-29.88	-55.63	6.74656256536513	10
155.51	-6.76	6.74175624492597	38
128.19	4.01	6.7412172506879	70
151.77	-5.23	6.73577139130295	33
125.36	12.38	6.7264609538784	33
125.89	0.43	6.72456239196318	33
126.98	-1.03	6.71859646516812	11
124.66	-8.12	6.71684114359664	33
42.69	-42.5	6.71487822316545	10
-70.18	-22.95	6.71369405114825	45
127.21	-3.6	6.7131001439562	30.1
-155.93	19.88	6.71131107757605	38.9
142.43	-3.21	6.70689069164337	11
-71.65	-17.75	6.70075202378549	24
-66.6	-23.12	6.70013093740945	190.8
-63.07	-28.4	6.69469163652634	577.8
-76.68	-13.46	6.69278473838451	23
154.92	-6.49	6.69235927224681	43
100.57	-2.21	6.68850167722198	50.8
-71.36	-32.62	6.68806986557654	29
-63.09	-28.04	6.68305718330786	586.9
-26.86	-60.2	6.68217648405965	20
-70.63	-19.92	6.6801850609306	20
-26.29	-59.37	6.67480664643191	84
101.9	-4.61	6.67480664643191	33
167.26	-14.38	6.67367345651331	207.9
122.48	19.82	6.67070623660541	214
167.3	-14.7	6.66770829224942	164
167.13	-13.48	6.66561445677482	200
99.49	-1.48	6.66066913707892	20
127.52	-1.35	6.65924053391105	33
138.9	-2.69	6.65852358021097	33
-74.87	-40.32	6.65612083069842	9
-73.11	-32.67	6.64879057449744	11
-12.8	-58.15	6.64253699111727	22.9
122.84	-9.36	6.64152376294548	65.8
-71.5	-28.96	6.64101581605273	20
112.14	-6.04	6.63614534844679	634
170.35	-21.5	6.63197938226212	105.3
139.33	27.96	6.63171700829346	512
127.4	-3.12	6.63119154598117	17.4
145.91	-3.48	6.63119154598117	11.4
107.24	-10	6.62668618813491	9
118.63	-8.21	6.62507917390048	18
123.38	6.74	6.62481046886532	620
-128.83	-10.78	6.6229225184568	10
-68.79	-13.74	6.62129441863935	586
138.94	28.98	6.61828558079032	477
168	-16.2	6.61801049321181	181
108.16	-4.92	6.61773514401883	614
-36.4	-56.05	6.61690752176514	10
