# Epicenters of shear wave splitting measurements at recording station ECH
longitude	latitude	moment_magnitude	hypocentral_depth_km
119.98	0.72	7.86398639799312	33
140.49	27.84	7.85910762343574	664
122.59	-7.14	7.84554857341364	587
166.38	-12.52	7.81924353954967	35
-69.2	-19.99	7.75404991347691	115.6
145.51	18.54	7.72027446247657	196
166.51	-13.01	7.613297336872	45
107.66	-5.97	7.53436535865809	289.2
123.57	-1.11	7.52825988422582	26
122.76	1.17	7.51240798659477	33
126.28	1.07	7.46689809888908	22
142.68	21.98	7.44905198125523	261.2
122.09	1.27	7.34862255669309	30
-173.59	-15.19	7.34147331309858	31
123.41	6.72	7.30920365778394	607.1
167.94	-19.7	7.30538562898894	16
166.7	-12.85	7.30047603929391	90.1
103.98	-2.43	7.27573344784128	582.1
122.62	4.48	7.27086728868028	627.2
129.22	-6.39	7.26326304247918	208.2
119.74	15.77	7.23626000442994	33
-63.4	-26.82	7.22767582831926	581
167.86	-17.6	7.19507820022382	21
-26.89	-56.2	7.18570206234241	72.7
167.6	-15.67	7.17359866443605	144.8
-66.45	-23.55	7.15100901893651	225
167.51	-16.62	7.15100901893651	33
-179.09	-17.55	7.14078664932259	537.2
-65.72	-22	7.11178570915162	276
167.3	-14.86	7.10892129451645	135
-26.47	-58.6	7.10531324335272	164.7
126.42	1.59	7.10140062090999	45.1
-70.82	-11.04	7.0930932259918	609.5
123.34	5.29	7.0822790945531	525
-71.22	-30.93	7.06464340184491	58
-70.13	-14.68	7.03295905964523	257.4
-74.53	-7.64	7.02348294050162	147
167.38	-15.15	7.01606222041783	123.1
166.16	-11.04	7.0146668940806	110.2
122.54	1.24	7.01396670110427	24
144.98	12.69	6.98213448271133	37
107.3	-7.78	6.97644485225871	46
116.63	-8.32	6.96546572375843	25.6
167.39	-16.07	6.96513397963207	27.2
126.62	7.23	6.95422618492656	33
116.45	-8.29	6.93864870604375	31
127.49	2.8	6.93230536733012	44.6
-62.99	-28.31	6.92903381100029	608.5
166.97	-13.5	6.92752584064038	110
166.91	-15.42	6.92333796197143	23
150.2	-5.91	6.91850429954481	33
130.38	-6.13	6.91654801065211	130
126.19	0.51	6.91299303162265	35
-63.06	-28.5	6.89831984604297	605
-69.39	-13.31	6.86862667244802	589
125.7	12	6.84947723827343	33
-63.47	-24.98	6.84208352351776	579.1
-73.57	-14.6	6.83527679100113	101
145.29	18.75	6.8288381534975	601.8
-63.29	-26.08	6.82116358637688	550.4
-70.72	-16.48	6.8208905739525	125
126.76	5.41	6.8167641907407	50
125.95	12.14	6.80546403828033	23
166.63	-14.45	6.80401999710932	33
-72.66	-16.66	6.79964415077439	87.2
168.52	-17.03	6.78254126915985	220
167.38	-14.59	6.77559853606367	169
126.57	1.96	6.77543879556053	39
122.37	4.08	6.7714163683371	574
-72.42	-13.29	6.77028000153926	85
143.18	12.52	6.75129039988533	76
128.19	4.01	6.7412172506879	70
98.46	0.59	6.72475280936867	34
-70.18	-22.95	6.71369405114825	45
169.29	-20.44	6.71091200148998	57
-66.69	-23.11	6.68936337325864	223
100.57	-2.21	6.68850167722198	50.8
-63.08	-28.06	6.68305718330786	588
-26.86	-60.2	6.68217648405965	20
167.26	-14.38	6.67367345651331	207.9
167.3	-14.7	6.66770829224942	164
167.13	-13.48	6.66561445677482	200
139.33	27.96	6.63171700829346	512
123.38	6.74	6.62481046886532	620
-68.79	-13.74	6.62129441863935	586
168	-16.2	6.61801049321181	181
123.25	6.53	6.61132874310617	627.4
108.16	-4.86	6.61048257692785	614
126.74	2.22	6.60849851866716	60
154.83	-4.55	6.60506532047994	500
-24.72	-56.13	6.60042346306503	33
122.59	0.93	6.58664799619871	33
127.36	1.88	6.58603393519525	96
123.13	6.16	6.58350257972986	614
-66.89	-24.32	6.57824622378001	156.8
126.83	2.2	6.56991846935792	91.9
123.52	6.22	6.5682891479247	553
144.83	21.1	6.56632178143344	49.8
-70.59	-27.53	6.56067386381014	62
120.25	1.02	6.55285285737459	33
-27.06	-56.42	6.54049461826107	87.7
-73.99	-16.09	6.53763888093074	62
-26.55	-56.66	6.5361821248784	33
-69.17	-18.9	6.52690748002101	128.1
112.41	-8.19	6.52577429010241	151.6
119.82	-7.41	6.52261582264504	538.7
-63.9	-19.28	6.50039606210668	596
125.42	12.02	6.4961091219431	35
-178.84	-17.96	6.48733998519407	544
146.87	16.76	6.48703728819357	59.9
144.9	13.99	6.4750233520459	101
-70.91	-26.79	6.47321378581411	33
125.19	11.85	6.45485452778068	54
144.41	19.89	6.44854899867168	410
-172.98	-15.54	6.44601773846136	15.5
-78.7	-10.53	6.44461855894702	73
-71.94	-31.4	6.43649087704604	39
-63.38	-26.65	6.43390346344916	565
105.56	-6.84	6.43181675420313	56
142.98	21.64	6.42599952435892	290
166.41	-15.83	6.42006301405431	33
-71.29	-32.31	6.41732382943582	51.1
-68.64	-31.63	6.41350068591923	108
120.53	13.93	6.41283060734526	105
104.71	-5.89	6.41007824340787	101.4
126.64	5.51	6.40951330731722	33
-24.66	-56.47	6.40951330731722	33
139.29	29.06	6.40610034455987	430.3
-65.75	-22.27	6.40547024713032	289.6
167.2	-13.17	6.40397545210637	228.4
126.46	2.52	6.40195096320434	61.1
138.93	29.97	6.39561321466847	406
126.1	1.73	6.39263142050101	103
-74.38	-7.64	6.3882829584675	154
-70.09	-33.88	6.38596133242272	120.2
-66.66	-23.86	6.38559305212554	222
167.77	-17.35	6.38460867496106	33
168.03	-14.83	6.37368173083561	13
-26.85	-56.45	6.36910179675415	84
167.36	-14.66	6.36112563196885	162.7
-173.33	-15.21	6.35078418785002	14
99.69	-1.16	6.34820995553219	43.1
-73.69	-37.58	6.34434059141777	21
126.36	1.29	6.34284944826972	38.3
-71.38	-29.67	6.34020336409407	71
166.82	-14.29	6.33629758381685	69.3
121.56	0.54	6.33292836691695	103
126.43	1.88	6.32652225266434	41.5
-68.33	-22.23	6.3219674184865	114
-69.44	-18.88	6.32143132321835	116
127.69	2.56	6.31152857630432	66
-69.25	-19.45	6.30592201776258	33
-26.58	-56.12	6.30102844231876	33
167.74	-17.29	6.29763628583173	33
99.92	-1.12	6.29688631652725	54
-63.22	-26.74	6.28374301458549	569.6
-69.75	-18.57	6.277654859084	85
126.41	3.79	6.277654859084	21.9
125.1	-0.24	6.2757762420353	35
142.01	24.94	6.27152701860985	510
110.18	-7.87	6.27070617481183	143.1
-67.77	-23.27	6.27052344861164	155
123.16	-0.43	6.26924112599525	35.9
-69.34	-18.04	6.26161414090632	118
