# Epicenters of shear wave splitting measurements at recording station TMO07
longitude	latitude	moment_magnitude	hypocentral_depth_km
140.49	27.84	7.85910762343574	664
-69.2	-19.99	7.75404991347691	115.6
145.51	18.54	7.72027446247657	196
99.87	-0.72	7.56130488711297	81
-76.4	-5.68	7.49630096087096	115
129.22	-6.39	7.26326304247918	208.2
145.36	18.9	7.24867714266243	223.2
-26.89	-56.2	7.18570206234241	72.7
-71.79	-35.18	7.18262545222194	34.8
167.3	-14.86	7.10892129451645	135
126.42	1.59	7.10140062090999	45.1
-70.82	-11.04	7.0930932259918	609.5
123.34	5.29	7.0822790945531	525
-74.53	-7.64	7.02348294050162	147
107.3	-7.78	6.97644485225871	46
126.83	5.97	6.96703633815604	60.1
-75.97	-14.44	6.95093308541025	24
126.19	0.51	6.91299303162265	35
126.76	-6.36	6.88582483332155	469.6
146.17	0.83	6.84473687952918	13
-63.47	-24.98	6.84208352351776	579.1
145.29	18.75	6.8288381534975	601.8
-67.89	-22.32	6.79129462229388	162.6
152.79	-3.68	6.78050727781174	476
126.57	1.96	6.77543879556053	39
122.37	4.08	6.7714163683371	574
170.61	-21.98	6.71781763576882	68
-66.69	-23.11	6.68936337325864	223
100.57	-2.21	6.68850167722198	50.8
-63.08	-28.06	6.68305718330786	588
167.26	-14.38	6.67367345651331	207.9
166.57	-13.99	6.63614534844679	26.8
170.35	-21.5	6.63197938226212	105.3
123.38	6.74	6.62481046886532	620
108.16	-4.86	6.61048257692785	614
-172.57	-15.22	6.61019997109321	11
140.84	10.93	6.59091033938569	24.9
127.36	1.88	6.58603393519525	96
126.83	2.2	6.56991846935792	91.9
144.83	21.1	6.56632178143344	49.8
-68.23	-21.7	6.52923544465529	128
126.42	4.76	6.50109755238474	39.7
-176.56	-17.1	6.49677923282717	377.1
-178.84	-17.96	6.48733998519407	544
146.87	16.76	6.48703728819357	59.9
-25.75	-56.42	6.45543416692243	15
167.23	-13.57	6.44596788402222	176
139.29	29.06	6.40610034455987	430.3
-74.38	-7.64	6.3882829584675	154
167.36	-14.66	6.36112563196885	162.7
-177.52	-16.54	6.35816985112314	15.5
-80.99	-3.29	6.34897766146605	39.5
149.76	-5.99	6.32996640088381	29
126.43	1.88	6.32652225266434	41.5
-72.08	-30.05	6.32265522846853	10.1
-68.33	-22.23	6.3219674184865	114
-63.22	-26.74	6.28374301458549	569.6
126.53	5.7	6.27397567867875	22.5
142.01	24.94	6.27152701860985	510
-69.34	-18.04	6.26161414090632	118
142.59	24.4	6.2497831817012	43.2
138.86	28.35	6.23580421327005	512.4
-68.2	-22.15	6.22563319584106	115
-69.28	-19.53	6.22133263917102	91
168.02	-17.82	6.16626151579007	21.8
-70.44	-15.04	6.14633281864877	198.9
-66.01	-22.33	6.14308677828393	270
-68.43	-22.4	6.07383036062844	124
167.41	-15.09	6.06504496889103	151.3
102.22	-2.54	6.0458383493213	151
-66.32	-22.64	6.0216191852344	246.4
