id|Tag|Authors|Year|Title|Journal|No|Pages|DOI|Link|Comment
0|Silver1991|Silver, P.G., Chan, W.W.|1991|Shear wave splitting and subcontinental mantle deformation|J. Geophys. Res.|96|16429-16454| | | 
1|Makeyeva1992|Makeyeva, L.I., Vinnik, L.P., Roecker, S.W.|1992|Shear-wave splitting and small-scale convection in the continental upper mantle|Nature|358|144-147|10.1038/358144a0|http://www.nature.com/nature/journal/v358/n6382/abs/358144a0.html| 
2|Ruppert1992|Ruppert, S.|1992|Tectonics of western North America: a teleseismic view|PhD Thesis, Stanford Univ| |216pp| | | 
3|Sandvol1992|Sandvol, E., Ni, J., Ozalaybey, S., Schue, J.|1992|Shear-wave splitting in the Rio Grande Rift|Geophys. Res. Lett.|19|2337-2340| |http://adsabs.harvard.edu/abs/1992GeoRL..19.2337S| 
4|Vinnik1992|Vinnik, L.P., Makeyeva, L.I., Milev, A., Usenko, Y.|1992|Global Patterns of azimuthal anisotropy and deformation in the continental mantle|Geoph. J. Int.|111|433-447| | | 
5|Bormann1993|Bormann, P., Burghardt, P.-T., Makeyeva, L.I., Vinnik, L.P.|1993|Teleseismic shear-wave splitting and deformations in Central Europe|Phys. Earth Planet. Int.|78|157-166|10.1016/0031-9201(93)90153-Z|http://adsabs.harvard.edu/abs/1993PEPI...78..157B| 
6|Savage1993|Savage, M.K., Silver P.G.|1993|Mantle deformation and tectonics: constraints from seismic anisotropy in western United States|Phys. Earth Planet. Int.|78|207-227|10.1016/0031-9201(93)90156-4|http://adsabs.harvard.edu/abs/1993PEPI...78..207S| 
7|Silver1993|Silver, P.G., Kaneshima S.|1993|Constraints on mantle anisotropy beneath Precambrian North America from a transportable teleseimic experiment|Geophys. Res. Lett|20|1127-1130| | | 
8|Gao1994|Gao, S., Davis, P.M., Liu, H., Slack, P.D., Zorin, Y.A., Mordvinova, V.V., Kozhevnikov, V.M., Meyer, R.P.|1994|Seismic anisotropy and mantle flow beneath the Baikal rift zone|Nature|371|149-151|10.1038/371149a0|http://www.nature.com/nature/journal/v371/n6493/abs/371149a0.html| 
9|Helffrich1994|Helffrich, G., Silver, P.G., Given, H.|1994|Shear wave splitting variations over short spatial scales on continents|Geophys. J. Int.|119|561-573| | | 
10|McNamara1994|McNamara, D.E., Owens, T.J., Silver, P.G., Wu, F.T.|1994|Shear wave anisotropy beneath the Tibetan Plateau|J. Geophys. Res.|99|13655-13665| | | 
11|Russo1994|Russo, R.M., Silver, P.G.|1994|Trench-parallel flow beneath the Nazca plate from seismic anisotropy|Science|263|1105-1111| | | 
12|Sandvol1994|Sandvol, E., Ni, J.|1994|Mapping seismic azimuthal anisotropy in the United States from LRSM short period data|Eos, Transactions, AGU|75|481| | |Digitized analog data
13|Vinnik1994|Vinnik, L.P., Krishna, V.G., Kind, R., Bormann, P., Stammler, K.|1994|Shear wave splitting in the records of the German Regional Seismic Network|Geophys. Res. Lett.|21(6)|457-460| |http://www.agu.org/pubs/crossref/1994/94GL00396.shtml| 
14|Barruol1995|Barruol, G., Souriau, A.|1995|Anisotropy beneath the Pyrenees Range from teleseismic shear wave splitting: results from a test experiment|Geophys. Res. Lett.|22|493-496| | | 
15|Bostock1995|Bostock, M.G., Cassidy, J.F.|1995|Variations in SKS splitting across western Canada|Geophys. Res. Lett|22|05-Aug| | | 
16|Helffrich1995|Helffrich, G.|1995|Lithospheric deformation inferred from teleseismic shear wave splitting ovservations in the UK|J. Geophys. Res.|100|18195-18204| | | 
17|Kaneshima1995|Kaneshima, S., Silver, P.G.|1995|Anisotropic loci in the mantle beneath central Peru|Phys. Earth Planet. Int.|88|257-272| | | 
18|Meade1995|Meade, C., Silver, P.G., et al.|1995|Laboratory and seismological observations of lower mantle isotropy|Geophys. Res. Lett.|22|1293-1296| | | 
19|Ozalaybey1995|Ozalaybey, S., Savage, M.K.|1995|Shear-wave splitting beneath western United States in relation to plate tectonics|J. Geophys. Res.|100|18135-18149| | | 
20|Vinnik1995|Vinnik, L.P., Green, R.W.E., Nicolaysen, L.O.|1995|Recent deformations of the deep continental roots in southern Africa|Nature|375|50-52| | | 
21|Fouch1996|Fouch, M.J., Fischer, K.M|1996|Mantle anisotropy beneath northwest Pacific subduction zones|J. Geophys. Res.|101|15987-16002| | | 
22|James1996|James, D.E., Assumpcao, M.|1996|Tectonic implications of S-wave anisotropy beneath SE Brazil|Geophys. J. Int.|126|01-Oct| | | 
23|Margheriti1996|Margheriti, L., Nostro, C., Cocco, M., Amato, A.|1996|Seismic anisotropy beneath the northern Apennines|Geophys. Res. Lett.|v23/20|2721-2724| | | 
24|Russo1996|Russo, R.M., Silver, P.G.|1996|Cordillera orogenesis, mantle dynamics, and the Wilson Cycle|Geology|24|511-514| | | 
25|Russo1996|Russo, R.M., Silver, P.G., Franke, M., Ambeh, W.B., James, D.E.,|1996|Shear-wave splitting in northeast Venezuela, Trinidad and the Eastern Caribbean|Phys. Earth Planet. Int.|95|251-275| | | 
26|Savage1996|Savage, M.K., Sheehan, A.F., Lerner-Lam, A.|1996|Shear wave splitting across the Rocky Mountain Front|Geophys. Res. Lett.|23|2267-2270| | | 
27|Vinnik1996|Vinnik, L.P., Green, R.W.E., Nicolaysen, L.O.|1996|Seismic constraints on dynamics of the mantle of the Kaapvaal craton|Phys. Earth Planet. Int.|95|139-151| | | 
28|Barruol1997a|Barruol, G., Silver, P.G., Vauchez, A.|1997|Seismic anisotropy in the eastern United States: Deep structure of a complex continental plate|J. Geophys. Res|102|8329-8348| | | 
29|Barruol1997b|Barruol, G., Helffrich, G., Vauchez, A.|1997|Shear wave splitting around the northern Atlantic, frozen Pangaean lithospheric anisotropy?|Tectonophysics|279(1-4)|135-148| | | 
30|Sandvol1997|Sandvol, E.A., Ni, J.F., Kind, R., Zhao, W.|1997|Seismic anisotropy beneath the southern Himalayas-Tibet collision zone|J. Geophys. Res.|102(8)|17813-17823| | | 
31|Barruol1998|Barruol, G., Souriau, A., Vauchez, A., Diaz, J., Gallart, J., Tubia, J., Cuevas, J.|1998|Lithospheric anisotropy beneath the Pyrenees from shear wave splitting|J. Geophys. Res.|103(12)|30039-30053| | | 
32|Bock1998|Bock, G., Kind, R., Rudloff, A., Asch, G.|1998|Shear wave anisotropy in the upper mantle beneath the Nazca plate in northern Chile|J. Geophys. Res.|103(B10)|24333-24345| | | 
33|Margheriti1998|Margheriti, L.|1998|SKS-wave splitting and upper mantle structure: results in the Southern Apennines|Annali Di Geofisica|41(4)|607-616| | | 
34|Pondrelli1998|Pondrelli, S., Azzara, R.|1998|Upper mantle anisotropy in Victoria Land (Antarctica)|PAgeoph|151|433-442| | | 
35|Russo1998|Russo, R.M., Okal, E.A.|1998|Shear wave splitting and upper mantle deformation in French Polynesia, Evidence from small-scale heterogeneity related to the Society hotspot|J. Geophys. Res.|103|15089-15107| | | 
36|Schutt1998|Schutt, D.L., Humphreys, E.D., Dueker, K.|1998|Anisotropy of the Yellowstone Hot Spot wake, eastern Snake River Plain, Idaho|PAGEOPH|151(2-4)|443-462|10.1007/s000240050122| | 
