Shear wave splitting measurements related to the publication;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Lateral and vertical variations of seismic anisotropy in the lithosphere-asthenosphere system;;;;;;;;;;;;;;;;;;;;;;;
underneath Central Europe from long-term splitting measurements.;;;;;;;;;;;;;;;;;;;;;;;
2024. Geophysical Journal International.;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Yvonne Fröhlich, Michael Grund, and Joachim R. R. Ritter;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
corresponding author: Yvonne Fröhlich. Karlsruhe Institute of Technology (KIT),;;;;;;;;;;;;;;;;;;;;;;;
Geophysical Institute, Hertzstr. 16, 76187 Karlsruhe, Germany. yvonne.froehlich@kit.edu. https://orcid.org/0000-0002-8566-0619.;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Splits (single-event analysis results of good and fair qualities) at the Black Forest Observatory (BFO, GR; 48.331 degN, 8.330 degE);;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
year_jday;station;phase;inc_in_deg;baz_in_deg;epidis_in_deg;hdepth_in_km;lat_in_degN;lon_in_degE;region;freq_low_in_Hz;freq_upp_in_Hz;phiRC_in_deg;dtRC_in_sec;phiSC_min_in_deg;phiSC_in_deg;phiSC_max_in_deg;dtSC_min_in_sec;dtSC_in_sec;dtSC_max_in_sec;phiEV_in_deg;dtEV_in_sec;quality;observation;SI;SI_err;remark
2017.231;BFO;SKKS;9.7;13.40;149.15;544.00;-17.96;-178.84;FIJI ISLANDS REGION;0.020;0.15;59;1.2;29;45;70;0.9;1.3;2.0;51;1.2;fair;Split;0.83;0.06;NaN
2018.322;BFO;SKKS;9.7;13.49;149.08;533.60;-17.90;-178.90;FIJI ISLANDS REGION;0.020;0.15;64;1.2;33;47;70;0.9;1.3;1.8;67;1.2;fair;Split;0.94;0.06;NaN
2006.055;BFO;SKKS;9.6;14.85;148.95;622.60;-17.89;-179.65;FIJI REGION;0.020;0.15;55;2.3;48;51;58;2.1;2.4;2.7;51;2.4;fair;Split;3.06;0.28;NaN
2009.313;BFO;SKKS;9.7;18.20;147.93;590.90;-17.24;178.34;FIJI ISLANDS;0.020;0.20;68;1.0;46;58;78;0.7;1.0;1.3;58;1.0;fair;Split;1.16;0.08;NaN
2015.023;BFO;SKKS;10.0;34.25;144.83;220.00;-17.03;168.52;VANUATU ISLANDS;0.020;0.15;61;2.3;58;66;78;1.6;2.2;2.8;58;2.4;fair;Split;1.75;0.15;NaN
2014.121;BFO;SKKS;9.7;34.61;149.59;105.30;-21.50;170.35;SOUTHEAST OF LOYALTY ISL;0.020;0.15;67;2.9;58;65;74;2.2;2.9;3.7;65;2.9;fair;Split;2.15;0.23;NaN
2002.232;BFO;SKS;10.1;38.35;90.50;9.00;30.99;141.97;SOUTH OF HONSHU, JAPAN;0.010;0.10;73;1.7;62;68;86;1.3;1.9;2.4;70;1.8;fair;Split;1.17;0.13;NaN
1992.304;BFO;SKS;10.0;41.13;90.09;406.00;29.97;138.93;SOUTH OF HONSHU, JAPAN;0.010;0.10;58;3.0;56;59;64;2.3;2.8;3.4;59;2.8;fair;Split;0.82;0.10;NaN
2016.211;BFO;SKS;8.1;41.40;103.03;212.40;18.51;145.53;MARIANA ISLANDS;0.067;0.20;53;2.7;56;59;64;1.8;2.2;2.8;53;2.7;fair;Split;0.67;0.12;NaN
2002.214;BFO;SKS;9.9;41.45;90.71;426.10;29.28;138.97;SOUTH OF HONSHU, JAPAN;0.010;0.40;83;0.7;58;65;76;0.7;1.0;1.3;69;0.9;fair;Split;0.63;0.17;NaN
2000.301;BFO;SKS;9.4;41.81;93.97;388.00;26.27;140.46;BONIN ISLANDS REGION;0.010;0.15;58;2.4;54;58;62;1.8;2.4;2.8;58;2.4;good;Split;0.56;0.13;NaN
2014.101;BFO;SKS;5.0;45.26;129.85;39.40;-6.86;155.02;SOLOMON ISLANDS;0.080;0.19;77;1.1;64;71;84;0.8;1.2;1.5;75;1.1;fair;Split;0.90;0.11;NaN
2016.244;BFO;SKS;5.3;45.82;126.01;499.10;-3.69;152.79;NEW IRELAND REGION, P.N.;0.050;0.19;88;0.7;58;78;-74;0.4;0.7;1.4;68;0.9;fair;Split;0.67;0.06;NaN
2001.182;BFO;SKKS;11.1;46.00;126.64;28.00;-4.31;152.96;NEW BRITAIN REGION;0.067;0.20;68;1.4;62;72;82;0.9;1.3;1.7;64;1.5;fair;Split;0.86;0.14;NaN
2000.324;BFO;SKS;5.2;47.97;127.22;33.00;-5.59;151.87;NEW BRITAIN REGION;0.010;0.15;-85;0.8;-88;-68;-64;0.7;1.0;1.3;-68;1.0;fair;Split;0.66;0.08;NaN
2002.157;BFO;SKKS;11.4;48.84;121.38;10.00;-0.88;148.33;ADMIRALTY ISLANDS REGION;0.010;0.10;-82;1.2;64;81;-74;0.9;1.3;2.3;-73;1.2;fair;Split;0.94;0.04;NaN
2013.188;BFO;SKS;5.3;50.56;126.51;56.00;-6.03;149.71;NEW BRITAIN REGION, P.N.;0.075;0.20;-81;0.9;82;-87;-76;0.7;0.9;1.2;-67;1.0;fair;Split;0.85;0.05;NaN
2008.297;BFO;SKKS;11.4;52.66;121.46;10.00;-2.63;145.57;ADMIRALTY ISLANDS REGION;0.010;0.13;-76;1.6;-84;-71;-66;1.3;1.7;2.1;-75;1.6;fair;Split;1.46;0.20;NaN
2010.107;BFO;SKKS;11.1;53.51;125.79;53.00;-6.67;147.29;EASTERN NEW GUINEA REG.,;0.040;0.15;-73;1.1;78;-78;-60;0.7;1.1;1.5;-62;1.2;fair;Split;0.95;0.07;NaN
