stacode;stalat;stalon;evdate;evlat;evlon;phase;phiSCerrmin;phiSC;phiSCerrmax;dtSCerrmin;dtSC;dtSCerrmax;SIerrmin;SI;SIerrmax;SIdiff;pair;ppCMBlat;ppCMBlon;misori;filterlow;filterhigh
AAL;60.1780;19.9936;04-Mar-2010;-22.2300;-68.3300;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;0.14947;0.18313;0.21679;NaN;same;47.0530;-18.6892;NaN;0.077;0.180
AAL;60.1780;19.9936;04-Mar-2010;-22.2300;-68.3300;SKS;NaN;NaN;NaN;NaN;NaN;NaN;0.08713;0.13477;0.18242;NaN;same;55.1407;-2.5116;NaN;0.077;0.180
AAL;60.1780;19.9936;21-Sep-2013;-7.2600;119.9600;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.15001;-0.06256;0.02489;NaN;same;52.4172;67.9784;NaN;0.067;0.200
AAL;60.1780;19.9936;21-Sep-2013;-7.2600;119.9600;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.15965;-0.08187;-0.00408;NaN;same;58.2134;48.8314;NaN;0.067;0.200
AAL;60.1780;19.9936;28-May-2016;-56.2000;-26.8900;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.01396;0.08119;0.17633;NaN;same;38.8809;6.0489;NaN;0.067;0.200
AAL;60.1780;19.9936;28-May-2016;-56.2000;-26.8900;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.21400;-0.15586;-0.09773;NaN;same;51.3055;12.4810;NaN;0.067;0.200
ARA0;69.5349;25.5058;07-May-2015;-7.2300;154.5500;SKKS;-7.08;4.90;19.21;0.85;1.10;1.40;-0.63210;-0.52216;-0.41222;NaN;same;68.6596;102.5509;NaN;0.067;0.260
ARA0;69.5349;25.5058;07-May-2015;-7.2300;154.5500;SKS;-7.08;16.90;33.37;0.55;0.80;1.10;-0.70433;-0.65958;-0.61483;NaN;same;73.3686;64.3219;NaN;0.067;0.260
ARA0;69.5349;25.5058;25-Jul-2016;-26.1100;-70.6500;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.10116;-0.06845;-0.03574;NaN;same;57.5886;-24.2609;NaN;0.067;0.140
ARA0;69.5349;25.5058;25-Jul-2016;-26.1100;-70.6500;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.14603;-0.10558;-0.06513;NaN;same;66.2069;-2.5799;NaN;0.067;0.140
ARA0;69.5349;25.5058;31-Aug-2016;-3.6900;152.7900;SKKS;-3.03;9.59;21.24;0.85;1.05;1.25;-1.04549;-0.98703;-0.92857;NaN;same;68.1155;103.0866;NaN;0.067;0.220
ARA0;69.5349;25.5058;31-Aug-2016;-3.6900;152.7900;SKS;-7.08;1.59;11.12;0.90;1.05;1.25;-1.00183;-0.95462;-0.90740;NaN;same;73.1627;67.1233;NaN;0.067;0.220
ARA0;69.5349;25.5058;15-Apr-2017;-23.2400;-67.6500;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.27736;-0.12155;0.03425;NaN;same;56.5956;-24.2322;NaN;0.067;0.200
ARA0;69.5349;25.5058;15-Apr-2017;-23.2400;-67.6500;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.20575;-0.06011;0.08553;NaN;same;65.4963;-3.9667;NaN;0.067;0.200
ARBE;59.4365;25.9841;24-Aug-2011;-7.6400;-74.5300;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.23159;-0.16483;-0.09807;NaN;same;51.8954;-21.5164;NaN;0.067;0.200
ARBE;59.4365;25.9841;24-Aug-2011;-7.6400;-74.5300;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.22755;-0.15923;-0.09091;NaN;same;57.5790;-2.3882;NaN;0.067;0.200
ARBE;59.4365;25.9841;02-Sep-2011;-28.4000;-63.0700;SKKS;33.37;43.87;49.55;0.80;1.00;1.20;-0.90115;-0.85085;-0.80055;0.60857688;disc;46.4691;-9.3450;NaN;0.067;0.240
ARBE;59.4365;25.9841;02-Sep-2011;-28.4000;-63.0700;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.19197;-0.09436;0.00325;0.60857688;disc;54.6809;6.7429;NaN;0.067;0.240
ARBE;59.4365;25.9841;22-Nov-2011;-15.3600;-65.0900;SKKS;45.51;56.96;63.71;0.80;1.10;1.40;-0.68307;-0.61334;-0.54361;0.350266248;disc;47.9569;-15.4417;NaN;0.067;0.200
ARBE;59.4365;25.9841;22-Nov-2011;-15.3600;-65.0900;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.19334;-0.12454;-0.05573;0.350266248;disc;55.1123;1.1131;NaN;0.067;0.200
ARE0;69.5349;25.5058;01-Jul-2001;-4.3100;152.9600;SKKS;1.01;11.61;21.24;1.05;1.25;1.50;-1.18255;-1.09454;-1.00654;NaN;same;68.0109;103.3941;NaN;0.067;0.200
ARE0;69.5349;25.5058;01-Jul-2001;-4.3100;152.9600;SKS;1.01;9.61;17.19;0.75;0.85;0.95;-0.97512;-0.95968;-0.94425;NaN;same;73.1524;67.3519;NaN;0.067;0.200
ARE0;69.5349;25.5058;21-Mar-2005;-24.9800;-63.4700;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.21071;-0.14583;-0.08096;NaN;same;55.6637;-21.1890;NaN;0.067;0.200
ARE0;69.5349;25.5058;21-Mar-2005;-24.9800;-63.4700;SKS;NaN;NaN;NaN;NaN;NaN;NaN;0.09235;0.19560;0.29886;NaN;same;64.8629;-2.2768;NaN;0.067;0.200
ARE0;69.5349;25.5058;21-May-2005;-3.2900;-80.9900;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.02147;-0.00661;0.00825;NaN;same;60.3703;-40.5433;NaN;0.067;0.200
ARE0;69.5349;25.5058;21-May-2005;-3.2900;-80.9900;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.00706;0.02261;0.05229;NaN;same;67.6299;-18.8079;NaN;0.067;0.200
ARE0;69.5349;25.5058;03-Jul-2008;-23.3700;-179.7800;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;0.11131;0.17795;0.24458;NaN;same;78.9266;103.7257;NaN;0.067;0.200
ARE0;69.5349;25.5058;03-Jul-2008;-23.3700;-179.7800;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.10346;-0.00929;0.08487;NaN;same;75.7301;42.6088;NaN;0.067;0.200
ARE0;69.5349;25.5058;08-Jul-2008;-15.9900;-71.7500;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.15327;-0.09895;-0.04463;NaN;same;57.6037;-29.5952;NaN;0.067;0.200
