lon_degE lat_degN
138.15 31.42
-93.09 14.96
178.61 -24.96
168.92 -18.93
161.26 -10.39
-177.32 -24.53
-63.24 -28.23
140.22 -3.83
145.96 -6.24
153.5 -4.53
147.1 -5.47
-174.73 -18.64
-69.75 -17.82
-63.08 -28.06
-72.52 -15.92
97.91 3.02
173.71 -39.96
167.36 -14.66
153.17 -4.73
-74.25 -8.38
153.23 -4.71
145.13 49.78
144.58 -4.85
126.83 2.2
-76.33 1.97
124.57 4.19
-75.05 -8.91
-142.89 57.54
-71.27 -29.16
-100.37 18.41
176.09 -38.32
129.81 -6.52
152.96 -4.72
167.26 -14.38
143.08 42.81
-77.36 1.14
125.84 5.76
-63.19 -27.99
157.34 50.93
-90.43 14.6
131.1 42.71
138.47 -3.53
169.64 -19.14
62.05 28.11
150.8 46.18
138.93 29.92
-178.91 -28.74
-175.07 -17.94
145.29 18.75
-177.11 -23.02
-175.74 -20.56
153.28 54.87
151.51 52.22
166.26 -11.41
179.46 -33.9
155.64 -7.04
153.88 -3.94
149.72 -6.02
167.59 -15.36
129.81 -7.12
-179.61 -30.62
179.67 -27.8
128.28 -7.54
138.79 30.01
-92.07 14.67
119.96 -7.26
152.77 53.17
141.69 12.28
-178.44 -30.75
154.93 -6.49
128.4 2.65
145.17 18.46
-176.56 -17.1
167.2 -13.87
109.25 -7.98
-27.27 -56.81
167.34 -15.06
-171.84 53.68
-87.64 12.63
127.33 27.41
169.82 -14.73
131.74 33.68
179.28 -26.09
-85.96 11.71
170.35 -21.5
179.08 -24.64
178.21 -25.8
139.31 34.86
122.16 9.42
166.83 -13.58
178.76 51.8
138.86 28.35
-92.41 14.74
168.36 -17.62
128.76 -7.22
130.7 42.59
167.23 -13.57
-68.33 -22.23
144.71 19.33
128.13 -1.69
152.24 -3.36
-3.54 36.97
147.29 -6.67
140.97 29.64
-77.54 -5.08
-74.36 -13.93
-71.56 -8.08
93.45 11.12
179.12 -23.31
-68.2 -22.15
128.22 3.04
123.41 6.72
123.47 6.49
