# station	network	lat	lon	useless	depth
A147A	Z3	48.537900	12.945500	0.	0.
A147B	Z3	48.530049	12.977644	0.	0.
A350A	Z3	50.167400	11.570800	0.	0.
A100A	Z3	48.452999	8.926085	0.	0.
A351A	Z3	50.003000	10.792200	0.	0.
A351B	Z3	50.001900	10.761200	0.	0.
A128A	Z3	49.398600	8.596290	0.	0.
A125A	Z3	48.974300	8.683670	0.	0.
A126A	Z3	48.989350	8.492140	0.	0.
A124A	Z3	48.653870	8.494100	0.	0.
A146A	Z3	48.292800	12.975000	0.	0.
A116A	Z3	49.398020	9.483340	0.	0.
A116B	Z3	49.398211	9.483931	0.	0.
A113A	Z3	49.545960	8.729640	0.	0.
A113B	Z3	49.546172	8.729795	0.	0.
A111A	Z3	49.847800	10.213200	0.	0.
A037A	Z3	47.070347	10.264323	0.	0.
A105A	Z3	47.406962	10.293358	0.	0.
A367A	Z3	48.307253	11.923009	0.	0.
A114A	Z3	49.590100	9.182400	0.	0.
A107A	Z3	48.031091	10.227152	0.	0.
A107B	Z3	48.031229	10.232890	0.	0.
A107C	Z3	48.019394	10.199769	0.	0.
A107D	Z3	48.017528	10.194415	0.	0.
A027A	Z3	46.815900	14.007370	0.	0.
A262A	Z3	46.864238	16.527617	0.	0.
A143A	Z3	47.683648	11.003359	0.	0.
A357A	Z3	48.699800	11.999200	0.	0.
A357B	Z3	48.702600	11.946600	0.	0.
A356A	Z3	49.037100	12.213800	0.	0.
A023A	Z3	48.460820	14.070720	0.	0.
A112A	Z3	49.649940	7.908560	0.	0.
A108A	Z3	48.347749	9.831130	0.	0.
A361A	Z3	48.790759	10.817123	0.	0.
A032A	Z3	48.122990	13.306320	0.	0.
A267A	Z3	46.946341	18.481994	0.	0.
A362A	Z3	48.363723	10.402172	0.	0.
A106A	Z3	48.753327	9.721797	0.	0.
A106B	Z3	48.753388	9.721937	0.	0.
A363A	Z3	48.523049	10.933397	0.	0.
A140A	Z3	47.552187	11.436308	0.	0.
A353A	Z3	49.517800	10.542600	0.	0.
A028A	Z3	47.102950	13.995760	0.	0.
A028B	Z3	47.094808	13.949906	0.	0.
A035A	Z3	47.196800	12.720905	0.	0.
A035B	Z3	47.160486	12.641990	0.	0.
A034A	Z3	46.909140	13.078750	0.	0.
A127A	Z3	49.196680	7.978080	0.	0.
A022A	Z3	48.634810	14.732590	0.	0.
A033A	Z3	47.479741	13.125997	0.	0.
A103A	Z3	47.810224	9.522120	0.	0.
A103B	Z3	47.810231	9.522242	0.	0.
A103C	Z3	47.790085	9.513526	0.	0.
A103D	Z3	47.800827	9.550022	0.	0.
A358A	Z3	48.869700	13.194300	0.	0.
A029A	Z3	47.430070	13.761050	0.	0.
A366A	Z3	47.833268	10.623460	0.	0.
A122A	Z3	48.278510	7.867820	0.	0.
A026A	Z3	46.933176	14.551554	0.	0.
