# station	network	lat	lon	useless	depth
AAL	UP	60.178	19.9936	0	0
ARJ	UP	66.2421	16.9734	0	0
ARNU	UP	61.692	17.378	0	0
ASKU	UP	58.8946	14.8288	0	0
ASPU	UP	57.4185	16.5992	0	0
BACU	UP	59.854	17.1078	0	0
BJO	UP	63.9703	17.1007	0	0
BJUU	UP	56.074	13.023	0	0
BLEU	UP	56.304	15.8145	0	0
BORU	UP	57.6345	12.7697	0	0
BREU	UP	63.8908	18.5777	0	0
BURU	UP	64.5836	21.3769	0	0
BYXU	UP	57.2899	17.0083	0	0
DEL	UP	56.47	13.87	0	0
DUNU	UP	67.1215	20.5688	0	0
EKSU	UP	57.5726	15.3016	0	0
ERTU	UP	66.5541	22.1895	0	0
ESKU	UP	59.2311	16.3938	0	0
FABU	UP	57.0011	12.7184	0	0
FALU	UP	60.4943	15.8318	0	0
FIBU	UP	59.9013	17.3518	0	0
FINU	UP	59.4034	12.4789	0	0
FKPU	UP	58.1591	13.7241	0	0
FLYU	UP	60.1282	17.8846	0	0
FORU	UP	60.387	18.1801	0	0
GNOU	UP	57.29	13.756	0	0
GOTU	UP	57.6855	18.57	0	0
GRAU	UP	60.3342	18.5396	0	0
HARU	UP	66.1635	20.9752	0	0
HASU	UP	62.1532	16.6136	0	0
HEMU	UP	62.676	18.0359	0	0
HUDU	UP	61.7364	17.1194	0	0
IGGU	UP	60.873	17.316	0	0
JOK	UP	66.6385	19.5433	0	0
KALU	UP	65.8596	23.3567	0	0
KOVU	UP	68.2229	20.1607	0	0
KUA	UP	67.9542	20.3368	0	0
LANU	UP	68.0493	21.988	0	0
LILU	UP	65.2856	19.848	0	0
LNKU	UP	58.2232	15.5047	0	0
LUNU	UP	55.632	13.446	0	0
MASU	UP	67.4569	21.9983	0	0
MOS	UP	65.7875	19.0294	0	0
NASU	UP	58.9278	13.1862	0	0
NIKU	UP	67.8673	19.0347	0	0
NOD	UP	63.4428	14.8573	0	0
NRAU	UP	59.5704	15.0401	0	0
NRTU	UP	59.6769	18.6308	0	0
NYNU	UP	59.0047	18.0042	0	0
ODEU	UP	64.4085	20.7162	0	0
ONAU	UP	57.3965	11.9177	0	0
ONSU	UP	57.3965	11.9259	0	0
OSKU	UP	57.1947	16.0994	0	0
OSTU	UP	60.2298	17.1342	0	0
PAJU	UP	67.024	23.113	0	0
RATU	UP	67.8234	19.5913	0	0
ROTU	UP	61.42	15.814	0	0
SALU	UP	67.3801	18.5067	0	0
SJUU	UP	65.508	21.6055	0	0
SOLU	UP	63.247	17.258	0	0
STRU	UP	59.0345	11.1825	0	0
SVAU	UP	64.494	19.575	0	0
TJOU	UP	58.032	11.625	0	0
UDD	UP	60.09	13.607	0	0
UMAU	UP	63.8829	20.6779	0	0
UPP	UP	59.858	17.627	0	0
VAG	UP	64.4968	18.2492	0	0
VANU	UP	58.4921	12.0727	0	0
VIKU	UP	58.5017	16.6992	0	0
VOR	UP	64.4314	16.013	0	0
VSTU	UP	57.66	16.5363	0	0
VXJU	UP	56.9212	14.9391	0	0

SA01	XX	71.1111	25.8169	0	0
SA02	XX	71.0638	28.2417	0	0
SA03	XX	70.5034	29.0668	0	0
SA04	XX	70.3191	25.4769	0	0
SA05	XX	70.284	31.0083	0	0
SA05A	XX	70.3712	31.0994	0	0
SA06	XX	70.1343	20.7599	0	0
SA06A	XX	70.0378	20.9731	0	0
SA07	XX	70.1272	23.3737	0	0
SA08	XX	69.7642	22.0623	0	0
SA09	XX	69.4536	30.0391	0	0
SA10	XX	69.2007	25.6916	0	0
SA11	XX	69.1321	18.0495	0	0
SA12	XX	68.9731	18.9144	0	0
SA13	XX	68.3491	18.8368	0	0
SA14	XX	67.6962	21.6242	0	0
SA15	XX	67.4746	18.3647	0	0
SA15A	XX	67.4746	18.3647	0	0
SA16	XX	67.1517	21.0775	0	0
SA17	XX	66.9529	17.7264	0	0
SA18	XX	66.7393	23.5642	0	0
SA19	XX	66.5654	22.1788	0	0
SA20	XX	66.4298	19.6862	0	0
SA21	XX	66.0406	25.0304	0	0
SA21A	XX	66.0405	25.0295	0	0
SA22	XX	66.0382	17.8591	0	0
SA23	XX	65.9262	20.3008	0	0
SA24	XX	65.7356	20.9542	0	0
SA25	XX	65.6723	14.2249	0	0
SA26	XX	65.6992	12.4383	0	0
SA27	XX	65.4823	15.8965	0	0
SA28	XX	65.4469	27.5106	0	0
SA29	XX	65.2879	19.8452	0	0
SA30	XX	65.0923	21.4977	0	0
SA31	XX	64.9911	18.501	0	0
SA32	XX	64.9876	13.5813	0	0
SA33	XX	64.9033	10.8499	0	0
SA34	XX	64.8318	15.0313	0	0
SA35	XX	64.534	12.4007	0	0
SA36	XX	64.4402	24.5172	0	0
SA37	XX	64.2467	16.8178	0	0
SA38	XX	64.1291	19.0003	0	0
SA39	XX	64.0718	14.0906	0	0
SA40	XX	64.0435	11.3353	0	0
SA41	XX	63.9665	10.2317	0	0
SA42	XX	63.8265	23.0079	0	0
SA43	XX	63.8165	15.5148	0	0
SA44	XX	63.7052	12.3484	0	0
SA45	XX	63.5492	19.3658	0	0
SA46	XX	63.4896	18.0945	0	0
SA47	XX	63.3596	23.9733	0	0
SA48	XX	63.2305	13.678	0	0
SA49	XX	63.1749	21.2788	0	0
SA50	XX	63.114	16.3224	0	0
SA51	XX	63.0441	11.6437	0	0
SA52	XX	62.9381	22.4878	0	0
SA53	XX	62.8004	13.0526	0	0
SA54	XX	62.7504	18.1489	0	0
SA55	XX	62.7191	10.0396	0	0
SA56	XX	62.4859	16.3087	0	0
SA57	XX	62.4494	14.9213	0	0
SA58	XX	61.9449	12.5534	0	0
SA59	XX	61.8654	14.1203	0	0
SA60	XX	61.693	17.3793	0	0
SA61	XX	61.5934	21.4622	0	0
SA62	XX	61.3839	15.5116	0	0
SA63	XX	61.134	13.9566	0	0
SA64	XX	61.0537	25.0399	0	0
SA65	XX	61.0535	15.7698	0	0
SA66	XX	60.4468	14.7806	0	0
SA67	XX	60.4158	22.4439	0	0
BER	NS	60.3838	5.33483	0	0
BJO1	NS	74.5023	18.9988	0	0
BLS5	NS	59.4228	6.456	0	0
FOO	NS	61.5975	5.04217	0	0
HAMF	NS	70.6425	23.6841	0	0
HOMB	NS	58.2701	8.50517	0	0
HOPE	NS	76.5083	25.0108	0	0
MOL	NS	62.5698	7.547	0	0
NSS	NS	64.5306	11.9673	0	0
SUE	NS	61.057	4.761	0	0
TBLU	NS	63.4196	10.4345	0	0
TRO	NS	69.6345	18.9076	0	0
HEF	UP	68.3916	23.6572	0	0
JOF	UP	62.9182	31.3124	0	0
KAF	UP	62.1112	26.3095	0	0
KEF	UP	62.1664	24.8706	0	0
KIF	UP	69.043	20.8037	0	0
MEF	UP	60.2172	24.3958	0	0
RAF	UP	61.0227	21.7679	0	0
SUF	UP	62.7191	26.1506	0	0
VAF	UP	63.0422	22.6715	0	0
VJF	UP	60.5388	27.555	0	0
MSF	UP	65.9113	29.0402	0	0
OUL	UP	65.0853	25.8964	0	0
RNF	UP	66.609	26.0135	0	0
SGF	UP	67.4421	26.5261	0	0
