Repository,Date,Stars
GenericMappingTools/gmt,Mon Aug 13 2018 04:28:37 GMT+0200 (Mitteleuropäische Sommerzeit),0
GenericMappingTools/gmt,Fri Jan 04 2019 14:37:11 GMT+0100 (Mitteleuropäische Normalzeit),60
GenericMappingTools/gmt,Fri Mar 01 2019 00:16:39 GMT+0100 (Mitteleuropäische Normalzeit),120
GenericMappingTools/gmt,Sat Jul 27 2019 20:49:03 GMT+0200 (Mitteleuropäische Sommerzeit),180
GenericMappingTools/gmt,Wed Nov 27 2019 10:37:17 GMT+0100 (Mitteleuropäische Normalzeit),240
GenericMappingTools/gmt,Fri Mar 13 2020 09:00:52 GMT+0100 (Mitteleuropäische Normalzeit),300
GenericMappingTools/gmt,Wed Jul 08 2020 07:11:03 GMT+0200 (Mitteleuropäische Sommerzeit),360
GenericMappingTools/gmt,Sat Sep 26 2020 10:50:10 GMT+0200 (Mitteleuropäische Sommerzeit),390
GenericMappingTools/gmt,Mon Mar 15 2021 20:40:17 GMT+0100 (Mitteleuropäische Normalzeit),450
GenericMappingTools/gmt,Mon Sep 13 2021 05:07:09 GMT+0200 (Mitteleuropäische Sommerzeit),510
GenericMappingTools/gmt,Wed Feb 16 2022 20:06:07 GMT+0100 (Mitteleuropäische Normalzeit),570
GenericMappingTools/gmt,Tue Aug 23 2022 09:57:25 GMT+0200 (Mitteleuropäische Sommerzeit),630
GenericMappingTools/gmt,Thu Apr 13 2023 11:50:55 GMT+0200 (Mitteleuropäische Sommerzeit),690
GenericMappingTools/gmt,Fri Nov 17 2023 21:39:49 GMT+0100 (Mitteleuropäische Normalzeit),750
GenericMappingTools/gmt,Wed May 29 2024 11:51:14 GMT+0200 (Mitteleuropäische Sommerzeit),810
GenericMappingTools/gmt,Sun Dec 01 2024 14:28:14 GMT+0100 (Mitteleuropäische Normalzeit),864
