land	land_code	change_percent
Iceland	ISL	52
Norway	NOR	30
Sweden	SWE	23
Finland	FIN	12
RU	RUS	-2
Estonia	EST	-13
Latvia	LVA	-29
Ireland	IRL	48
GB	GBR	20
Denmark	DNK	16
Lithuania	LTU	-23
Netherlands	NDL	20
Belgium	BEL	18
Germany	DEU	6
Poland	POL	2
Belarus	BLR	-11
Ukraine	UKR	-28
France	FRA	17
Switzerland	CHE	32
Austria	AUT	19
CZ	CZE	5
Austria	AUT	19
Slovakia	SVK	5
Hungary	HUN	-7
Moldova	MDA	-31
Romania	ROU	-17
Bulgaria	BGR	-23
Turkey	TUR	56
Georgia	GEO	-30
Armenia	ARM	-17
Azerbaijan	AZE	43
Italy	ITA	4
Spain	ESP	23
Portugal	PRT	4
Greece	GCR	0
MK	MKD	-11
Serbia	SRB	-14
BA	BIH	-28
Croatia	HRV	-19
Slovenia	SVN	6
Luxembourg	LUX	74
Andorra	AND	54
Monaco	MCO	28
Liechtenstein	LIE	37
San Marino	SMR	44
Malta	MLT	45
Montenegro	MNE	2
Cyprus	CYP	71
Kosovo	XKX	-14
Albania	ALB	-14
