Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.19,-.25,-.09,-.17,-.10,-.21,-.19,-.10,-.15,-.23,-.22,-.19,-.17,***,***,-.12,-.17,-.20
1881,-.19,-.15,.03,.04,.07,-.18,.01,-.03,-.15,-.21,-.18,-.07,-.08,-.09,-.18,.05,-.07,-.18
1882,.16,.14,.05,-.16,-.14,-.22,-.16,-.07,-.14,-.23,-.17,-.36,-.11,-.08,.08,-.08,-.15,-.18
1883,-.29,-.36,-.12,-.18,-.17,-.06,-.07,-.14,-.22,-.11,-.24,-.11,-.17,-.19,-.34,-.16,-.09,-.19
1884,-.13,-.08,-.36,-.40,-.33,-.35,-.30,-.27,-.27,-.25,-.33,-.31,-.28,-.26,-.11,-.36,-.31,-.28
1885,-.58,-.34,-.27,-.42,-.45,-.44,-.34,-.31,-.28,-.23,-.24,-.10,-.33,-.35,-.41,-.38,-.36,-.25
1886,-.44,-.50,-.43,-.28,-.24,-.35,-.18,-.31,-.24,-.27,-.28,-.25,-.31,-.30,-.35,-.32,-.28,-.26
1887,-.72,-.57,-.35,-.34,-.30,-.25,-.26,-.35,-.25,-.35,-.26,-.33,-.36,-.35,-.51,-.33,-.29,-.29
1888,-.34,-.36,-.41,-.21,-.22,-.17,-.11,-.16,-.12,.01,.02,-.04,-.18,-.20,-.35,-.28,-.15,-.03
1889,-.09,.16,.06,.09,-.01,-.10,-.08,-.20,-.23,-.25,-.34,-.29,-.11,-.09,.01,.05,-.13,-.27
1890,-.42,-.45,-.40,-.30,-.40,-.25,-.28,-.39,-.36,-.25,-.44,-.32,-.36,-.35,-.39,-.37,-.31,-.35
1891,-.34,-.46,-.18,-.27,-.16,-.21,-.18,-.17,-.15,-.21,-.31,-.04,-.22,-.25,-.37,-.20,-.18,-.23
1892,-.29,-.12,-.40,-.33,-.23,-.21,-.31,-.27,-.16,-.14,-.42,-.39,-.27,-.24,-.15,-.32,-.26,-.24
1893,-.81,-.57,-.22,-.27,-.34,-.25,-.14,-.25,-.22,-.18,-.19,-.32,-.31,-.32,-.59,-.28,-.21,-.20
1894,-.53,-.29,-.23,-.45,-.31,-.41,-.24,-.24,-.28,-.23,-.26,-.21,-.31,-.32,-.38,-.33,-.30,-.26
1895,-.41,-.43,-.33,-.22,-.28,-.21,-.17,-.17,-.12,-.10,-.17,-.14,-.23,-.24,-.35,-.27,-.18,-.13
1896,-.23,-.13,-.26,-.31,-.16,-.11,-.03,-.05,-.08,.06,-.05,-.05,-.12,-.12,-.17,-.24,-.07,-.02
1897,-.15,-.17,-.14,-.03,-.02,-.12,-.03,-.09,-.09,-.13,-.19,-.21,-.11,-.10,-.12,-.06,-.08,-.13
1898,-.03,-.31,-.51,-.30,-.30,-.19,-.22,-.27,-.22,-.35,-.38,-.24,-.28,-.27,-.18,-.37,-.23,-.32
1899,-.17,-.38,-.37,-.20,-.23,-.32,-.16,-.08,-.04,-.04,.12,-.27,-.18,-.18,-.26,-.27,-.19,.01
1900,-.37,-.06,.00,-.09,-.09,-.10,-.13,-.09,-.06,.09,-.07,-.07,-.09,-.10,-.23,-.06,-.11,-.01
1901,-.23,-.10,.06,-.03,-.16,-.12,-.14,-.20,-.22,-.29,-.17,-.28,-.16,-.14,-.14,-.04,-.16,-.23
1902,-.17,-.09,-.27,-.27,-.32,-.32,-.28,-.30,-.29,-.30,-.37,-.43,-.28,-.27,-.18,-.29,-.30,-.32
1903,-.24,-.06,-.23,-.41,-.40,-.43,-.35,-.45,-.49,-.46,-.42,-.51,-.37,-.36,-.24,-.35,-.41,-.46
