place	country	sum	Albania	Armenia	Australia	Austria	Azerbaijan	Belgium	Bulgaria	Croatia	Cyprus	Czechia	Denmark	Estonia	Finland	France	Georgia	Germany	Greece	Israel	Italy	Latvia	Lithuania	Luxembourg	Malta	Moldova	Montenegro	Norway	Poland	Portugal	Romania	San Marino	Serbia	Sweden	Switzerland	Ukraine	UK	Rest of world
1	Bulgaria	516	9	22	24	12	15	16	0	11	20	14	24	14	7	14	9	17	16	20	8	11	24	20	20	13	12	11	17	6	12	18	17	13	12	4	22	12
2	Israel	343	18	14	0	15	16	9	12	5	8	7	9	1	12	16	16	15	5	0	8	4	8	1	11	18	4	6	14	12	12	7	8	7	14	15	10	6
3	Romania	296	5	5	6	3	9	10	10	5	7	15	5	4	10	8	7	1	8	7	15	8	10	22	5	15	3	13	15	8	0	13	7	4	5	13	8	7
4	Australia	287	5	22	0	17	5	11	8	11	10	6	9	5	7	5	2	5	10	22	1	0	2	10	18	4	1	13	12	4	13	5	5	14	11	2	10	2
5	Italy	281	24	0	1	8	12	10	7	10	4	0	6	12	8	13	10	16	7	10	0	1	8	7	22	8	9	5	2	3	7	18	16	3	10	4	0	0
6	Finland	279	1	10	14	7	8	11	0	8	5	10	16	24	0	4	8	8	0	7	3	13	9	8	9	4	7	18	6	12	0	6	2	24	3	8	3	3
7	Denmark	243	5	11	8	10	7	0	1	10	6	13	0	10	18	10	4	4	0	16	0	8	10	5	0	0	0	24	3	10	7	1	6	20	3	7	6	0
8	Moldova	226	0	0	5	5	1	7	8	7	6	8	3	10	2	10	8	3	7	14	13	8	8	6	0	0	2	0	8	8	22	2	8	0	1	20	6	10
9	Ukraine	221	7	0	0	4	14	5	7	1	4	12	7	8	4	12	12	2	0	4	13	12	7	4	0	10	5	2	13	13	5	0	0	5	12	0	9	8
10	Greece	220	10	7	10	3	0	6	12	3	24	6	0	6	0	3	5	8	0	10	4	3	0	8	2	11	8	0	8	0	3	18	20	8	6	0	4	4
11	France	158	4	10	11	4	0	5	0	3	5	3	3	0	12	0	12	6	10	2	0	6	1	8	7	2	0	11	0	7	0	0	0	2	7	5	12	0
12	Poland	150	0	1	8	12	0	12	0	2	0	5	0	5	6	0	2	16	10	0	8	8	13	0	1	12	1	0	0	6	0	0	1	2	8	0	10	1
13	Albania	145	0	0	0	0	6	5	8	16	8	0	1	0	0	4	0	0	9	2	7	0	0	3	12	5	20	3	0	12	5	6	1	0	7	0	0	5
14	Norway	134	10	6	8	3	0	7	3	0	0	10	10	10	0	12	5	0	0	0	0	0	7	4	2	6	0	0	3	2	5	0	5	1	5	6	4	0
15	Croatia	124	2	0	7	8	7	0	4	0	0	4	0	4	7	1	0	9	5	0	0	0	0	7	0	2	16	0	0	9	4	0	12	6	2	8	0	0
16	Czechia	113	7	5	7	5	4	0	4	0	2	0	5	1	2	0	1	0	0	0	0	12	2	0	0	5	0	2	8	0	8	0	0	7	10	8	8	0
17	Serbia	90	3	0	0	0	8	0	0	24	0	2	0	0	3	1	3	0	5	0	0	0	1	0	1	1	24	0	1	0	10	0	0	0	0	3	0	0
18	Malta	89	6	0	4	0	4	0	14	0	7	1	0	0	0	3	4	0	0	0	8	0	0	2	0	0	0	0	0	0	3	12	8	0	0	12	1	0
19	Cyprus	75	0	3	3	0	0	0	16	0	0	0	2	0	0	0	8	0	24	0	0	0	0	0	6	0	0	0	0	0	0	10	0	0	0	0	3	0
20	Sweden	51	0	0	0	0	0	0	0	0	0	0	16	0	6	0	0	1	0	0	10	0	6	0	0	0	4	8	0	0	0	0	0	0	0	0	0	0
21	Belgium	36	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	2	12	10	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
22	Lithuania	22	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	2	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	Germany	12	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
24	Austria	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	UK	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
