longitude_degE latitude_degN Evel_mmyr Nvel_mmyr plate_reference model
-180.000000 -90.000000 7.77 -9.31 AN(NNR) ITRF2008
-180.000000 -88.000000 8.46 -9.31 AN(NNR) ITRF2008
-180.000000 -86.000000 9.14 -9.31 AN(NNR) ITRF2008
-180.000000 -84.000000 9.81 -9.31 AN(NNR) ITRF2008
-180.000000 -82.000000 10.47 -9.31 AN(NNR) ITRF2008
-180.000000 -80.000000 11.11 -9.31 AN(NNR) ITRF2008
-180.000000 -78.000000 11.74 -9.31 AN(NNR) ITRF2008
-180.000000 -76.000000 12.36 -9.31 AN(NNR) ITRF2008
-180.000000 -74.000000 12.96 -9.31 AN(NNR) ITRF2008
-180.000000 -72.000000 13.55 -9.31 AN(NNR) ITRF2008
-180.000000 -70.000000 14.12 -9.31 AN(NNR) ITRF2008
-180.000000 -68.000000 14.67 -9.31 AN(NNR) ITRF2008
-180.000000 -66.000000 15.20 -9.31 AN(NNR) ITRF2008
-180.000000 -64.000000 -18.06 31.95 PA(NNR) ITRF2008
-180.000000 -62.000000 -20.35 31.95 PA(NNR) ITRF2008
-180.000000 -60.000000 -22.61 31.95 PA(NNR) ITRF2008
-180.000000 -58.000000 -24.85 31.96 PA(NNR) ITRF2008
-180.000000 -56.000000 -27.05 31.96 PA(NNR) ITRF2008
-180.000000 -54.000000 -29.22 31.97 PA(NNR) ITRF2008
-180.000000 -52.000000 -31.35 31.97 PA(NNR) ITRF2008
-180.000000 -50.000000 -33.45 31.97 PA(NNR) ITRF2008
-180.000000 -48.000000 -35.50 31.98 PA(NNR) ITRF2008
-180.000000 -46.000000 -37.51 31.98 PA(NNR) ITRF2008
-180.000000 -44.000000 -39.47 31.98 PA(NNR) ITRF2008
-180.000000 -42.000000 -41.39 31.99 PA(NNR) ITRF2008
-180.000000 -40.000000 -43.25 31.99 PA(NNR) ITRF2008
-180.000000 -38.000000 -45.06 31.99 PA(NNR) ITRF2008
-180.000000 -36.000000 3.57 36.20 AU(NNR) ITRF2008
-180.000000 -34.000000 5.65 36.20 AU(NNR) ITRF2008
-180.000000 -32.000000 7.73 36.21 AU(NNR) ITRF2008
-180.000000 -30.000000 9.80 36.21 AU(NNR) ITRF2008
-180.000000 -28.000000 11.85 36.21 AU(NNR) ITRF2008
-180.000000 -26.000000 13.89 36.22 AU(NNR) ITRF2008
-180.000000 -24.000000 15.91 36.22 AU(NNR) ITRF2008
-180.000000 -22.000000 17.91 36.22 AU(NNR) ITRF2008
-180.000000 -20.000000 19.89 36.23 AU(NNR) ITRF2008
-180.000000 -18.000000 21.85 36.23 AU(NNR) ITRF2008
-180.000000 -16.000000 23.77 36.23 AU(NNR) ITRF2008
-180.000000 -14.000000 -61.95 32.03 PA(NNR) ITRF2008
-180.000000 -12.000000 -62.90 32.03 PA(NNR) ITRF2008
-180.000000 -10.000000 -63.77 32.03 PA(NNR) ITRF2008
-180.000000 -8.000000 -64.57 32.03 PA(NNR) ITRF2008
-180.000000 -6.000000 -65.29 32.03 PA(NNR) ITRF2008
-180.000000 -4.000000 -65.93 32.03 PA(NNR) ITRF2008
-180.000000 -2.000000 -66.50 32.04 PA(NNR) ITRF2008
-180.000000 0.000000 -66.98 32.04 PA(NNR) ITRF2008
-180.000000 2.000000 -67.38 32.04 PA(NNR) ITRF2008
-180.000000 4.000000 -67.70 32.03 PA(NNR) ITRF2008
-180.000000 6.000000 -67.93 32.03 PA(NNR) ITRF2008
-180.000000 8.000000 -68.09 32.03 PA(NNR) ITRF2008
-180.000000 10.000000 -68.16 32.03 PA(NNR) ITRF2008
-180.000000 12.000000 -68.15 32.03 PA(NNR) ITRF2008
-180.000000 14.000000 -68.06 32.03 PA(NNR) ITRF2008
-180.000000 16.000000 -67.88 32.03 PA(NNR) ITRF2008
-180.000000 18.000000 -67.62 32.03 PA(NNR) ITRF2008
-180.000000 20.000000 -67.28 32.02 PA(NNR) ITRF2008
-180.000000 22.000000 -66.86 32.02 PA(NNR) ITRF2008
-180.000000 24.000000 -66.36 32.02 PA(NNR) ITRF2008
-180.000000 26.000000 -65.78 32.01 PA(NNR) ITRF2008
-180.000000 28.000000 -65.11 32.01 PA(NNR) ITRF2008
-180.000000 30.000000 -64.37 32.01 PA(NNR) ITRF2008
-180.000000 32.000000 -63.55 32.01 PA(NNR) ITRF2008
-180.000000 34.000000 -62.65 32.00 PA(NNR) ITRF2008
-180.000000 36.000000 -61.68 32.00 PA(NNR) ITRF2008
-180.000000 38.000000 -60.63 31.99 PA(NNR) ITRF2008
-180.000000 40.000000 -59.50 31.99 PA(NNR) ITRF2008
-180.000000 42.000000 -58.31 31.99 PA(NNR) ITRF2008
-180.000000 44.000000 -57.04 31.98 PA(NNR) ITRF2008
-180.000000 46.000000 -55.70 31.98 PA(NNR) ITRF2008
-180.000000 48.000000 -54.30 31.98 PA(NNR) ITRF2008
-180.000000 50.000000 -52.83 31.97 PA(NNR) ITRF2008
-180.000000 52.000000 -1.06 -20.43 NA(NNR) ITRF2008
-180.000000 54.000000 -0.95 -20.43 NA(NNR) ITRF2008
-180.000000 56.000000 -0.84 -20.42 NA(NNR) ITRF2008
-180.000000 58.000000 -0.73 -20.42 NA(NNR) ITRF2008
-180.000000 60.000000 -0.62 -20.42 NA(NNR) ITRF2008
-180.000000 62.000000 -0.50 -20.42 NA(NNR) ITRF2008
-180.000000 64.000000 -0.39 -20.41 NA(NNR) ITRF2008
-180.000000 66.000000 -0.28 -20.41 NA(NNR) ITRF2008
-180.000000 68.000000 -0.16 -20.41 NA(NNR) ITRF2008
-180.000000 70.000000 -0.05 -20.41 NA(NNR) ITRF2008
