longitude_degE latitude_degN Evel_mmyr Nvel_mmyr plate_reference model
-180.000000 -90.000000 7.37 -9.68 AN(NNR) GEODVEL2010
-180.000000 -88.000000 8.10 -9.68 AN(NNR) GEODVEL2010
-180.000000 -86.000000 8.82 -9.68 AN(NNR) GEODVEL2010
-180.000000 -84.000000 9.53 -9.68 AN(NNR) GEODVEL2010
-180.000000 -82.000000 10.22 -9.68 AN(NNR) GEODVEL2010
-180.000000 -80.000000 10.91 -9.68 AN(NNR) GEODVEL2010
-180.000000 -78.000000 11.58 -9.68 AN(NNR) GEODVEL2010
-180.000000 -76.000000 12.23 -9.68 AN(NNR) GEODVEL2010
-180.000000 -74.000000 12.88 -9.68 AN(NNR) GEODVEL2010
-180.000000 -72.000000 13.50 -9.68 AN(NNR) GEODVEL2010
-180.000000 -70.000000 14.11 -9.68 AN(NNR) GEODVEL2010
-180.000000 -68.000000 14.70 -9.68 AN(NNR) GEODVEL2010
-180.000000 -66.000000 15.28 -9.68 AN(NNR) GEODVEL2010
-180.000000 -64.000000 -18.54 31.71 PA(NNR) GEODVEL2010
-180.000000 -62.000000 -20.85 31.71 PA(NNR) GEODVEL2010
-180.000000 -60.000000 -23.13 31.72 PA(NNR) GEODVEL2010
-180.000000 -58.000000 -25.38 31.72 PA(NNR) GEODVEL2010
-180.000000 -56.000000 -27.60 31.72 PA(NNR) GEODVEL2010
-180.000000 -54.000000 -29.79 31.73 PA(NNR) GEODVEL2010
-180.000000 -52.000000 -31.93 31.73 PA(NNR) GEODVEL2010
-180.000000 -50.000000 -34.04 31.73 PA(NNR) GEODVEL2010
-180.000000 -48.000000 -36.11 31.74 PA(NNR) GEODVEL2010
-180.000000 -46.000000 -38.13 31.74 PA(NNR) GEODVEL2010
-180.000000 -44.000000 -40.11 31.74 PA(NNR) GEODVEL2010
-180.000000 -42.000000 -42.04 31.75 PA(NNR) GEODVEL2010
-180.000000 -40.000000 -43.91 31.75 PA(NNR) GEODVEL2010
-180.000000 -38.000000 -45.73 31.76 PA(NNR) GEODVEL2010
-180.000000 -36.000000 3.11 35.73 AU(NNR) GEODVEL2010
-180.000000 -34.000000 5.17 35.74 AU(NNR) GEODVEL2010
-180.000000 -32.000000 7.22 35.74 AU(NNR) GEODVEL2010
-180.000000 -30.000000 9.27 35.74 AU(NNR) GEODVEL2010
-180.000000 -28.000000 11.30 35.75 AU(NNR) GEODVEL2010
-180.000000 -26.000000 13.32 35.75 AU(NNR) GEODVEL2010
-180.000000 -24.000000 15.32 35.75 AU(NNR) GEODVEL2010
-180.000000 -22.000000 17.30 35.76 AU(NNR) GEODVEL2010
-180.000000 -20.000000 19.26 35.76 AU(NNR) GEODVEL2010
-180.000000 -18.000000 21.20 35.76 AU(NNR) GEODVEL2010
-180.000000 -16.000000 23.11 35.76 AU(NNR) GEODVEL2010
-180.000000 -14.000000 -62.67 31.79 PA(NNR) GEODVEL2010
-180.000000 -12.000000 -63.62 31.79 PA(NNR) GEODVEL2010
-180.000000 -10.000000 -64.49 31.79 PA(NNR) GEODVEL2010
-180.000000 -8.000000 -65.29 31.79 PA(NNR) GEODVEL2010
-180.000000 -6.000000 -66.00 31.79 PA(NNR) GEODVEL2010
-180.000000 -4.000000 -66.64 31.80 PA(NNR) GEODVEL2010
-180.000000 -2.000000 -67.20 31.80 PA(NNR) GEODVEL2010
-180.000000 0.000000 -67.67 31.80 PA(NNR) GEODVEL2010
-180.000000 2.000000 -68.06 31.80 PA(NNR) GEODVEL2010
-180.000000 4.000000 -68.37 31.80 PA(NNR) GEODVEL2010
-180.000000 6.000000 -68.60 31.79 PA(NNR) GEODVEL2010
-180.000000 8.000000 -68.75 31.79 PA(NNR) GEODVEL2010
-180.000000 10.000000 -68.81 31.79 PA(NNR) GEODVEL2010
-180.000000 12.000000 -68.79 31.79 PA(NNR) GEODVEL2010
-180.000000 14.000000 -68.68 31.79 PA(NNR) GEODVEL2010
-180.000000 16.000000 -68.49 31.79 PA(NNR) GEODVEL2010
-180.000000 18.000000 -68.22 31.79 PA(NNR) GEODVEL2010
-180.000000 20.000000 -67.87 31.78 PA(NNR) GEODVEL2010
-180.000000 22.000000 -67.43 31.78 PA(NNR) GEODVEL2010
-180.000000 24.000000 -66.91 31.78 PA(NNR) GEODVEL2010
-180.000000 26.000000 -66.31 31.78 PA(NNR) GEODVEL2010
-180.000000 28.000000 -65.63 31.77 PA(NNR) GEODVEL2010
-180.000000 30.000000 -64.87 31.77 PA(NNR) GEODVEL2010
-180.000000 32.000000 -64.04 31.77 PA(NNR) GEODVEL2010
-180.000000 34.000000 -63.12 31.76 PA(NNR) GEODVEL2010
-180.000000 36.000000 -62.12 31.76 PA(NNR) GEODVEL2010
-180.000000 38.000000 -61.06 31.76 PA(NNR) GEODVEL2010
-180.000000 40.000000 -59.91 31.75 PA(NNR) GEODVEL2010
-180.000000 42.000000 -58.69 31.75 PA(NNR) GEODVEL2010
-180.000000 44.000000 -57.41 31.74 PA(NNR) GEODVEL2010
-180.000000 46.000000 -56.05 31.74 PA(NNR) GEODVEL2010
-180.000000 48.000000 -54.62 31.74 PA(NNR) GEODVEL2010
-180.000000 50.000000 -53.12 31.73 PA(NNR) GEODVEL2010
-180.000000 52.000000 0.64 -21.51 NA(NNR) GEODVEL2010
-180.000000 54.000000 0.71 -21.51 NA(NNR) GEODVEL2010
-180.000000 56.000000 0.78 -21.51 NA(NNR) GEODVEL2010
-180.000000 58.000000 0.85 -21.51 NA(NNR) GEODVEL2010
-180.000000 60.000000 0.92 -21.50 NA(NNR) GEODVEL2010
-180.000000 62.000000 0.98 -21.50 NA(NNR) GEODVEL2010
-180.000000 64.000000 1.05 -21.50 NA(NNR) GEODVEL2010
-180.000000 66.000000 1.11 -21.50 NA(NNR) GEODVEL2010
-180.000000 68.000000 1.18 -21.49 NA(NNR) GEODVEL2010
-180.000000 70.000000 1.24 -21.49 NA(NNR) GEODVEL2010
-180.000000 72.000000 1.30 -21.49 NA(NNR) GEODVEL2010
-180.000000 74.000000 1.36 -21.49 NA(NNR) GEODVEL2010
-180.000000 76.000000 1.41 -21.49 NA(NNR) GEODVEL2010
-180.000000 78.000000 1.47 -21.49 NA(NNR) GEODVEL2010
-180.000000 80.000000 1.52 -21.49 NA(NNR) GEODVEL2010
-180.000000 82.000000 1.57 -21.49 NA(NNR) GEODVEL2010
-180.000000 84.000000 1.62 -21.49 NA(NNR) GEODVEL2010
-180.000000 86.000000 1.67 -21.49 NA(NNR) GEODVEL2010
-180.000000 88.000000 1.71 -21.48 NA(NNR) GEODVEL2010
