longitude_degE latitude_degN Evel_mmyr Nvel_mmyr plate_reference model
-180.000000 -90.000000 6.21 -9.97 AN(NNR) GSRMv1.2
-180.000000 -88.000000 7.00 -9.97 AN(NNR) GSRMv1.2
-180.000000 -86.000000 7.78 -9.97 AN(NNR) GSRMv1.2
-180.000000 -84.000000 8.55 -9.97 AN(NNR) GSRMv1.2
-180.000000 -82.000000 9.31 -9.97 AN(NNR) GSRMv1.2
-180.000000 -80.000000 10.06 -9.97 AN(NNR) GSRMv1.2
-180.000000 -78.000000 10.79 -9.97 AN(NNR) GSRMv1.2
-180.000000 -76.000000 11.52 -9.97 AN(NNR) GSRMv1.2
-180.000000 -74.000000 12.22 -9.97 AN(NNR) GSRMv1.2
-180.000000 -72.000000 12.92 -9.97 AN(NNR) GSRMv1.2
-180.000000 -70.000000 13.60 -9.97 AN(NNR) GSRMv1.2
-180.000000 -68.000000 14.26 -9.97 AN(NNR) GSRMv1.2
-180.000000 -66.000000 14.90 -9.98 AN(NNR) GSRMv1.2
-180.000000 -64.000000 -20.40 29.36 PA(NNR) GSRMv1.2
-180.000000 -62.000000 -22.59 29.36 PA(NNR) GSRMv1.2
-180.000000 -60.000000 -24.74 29.36 PA(NNR) GSRMv1.2
-180.000000 -58.000000 -26.87 29.37 PA(NNR) GSRMv1.2
-180.000000 -56.000000 -28.96 29.37 PA(NNR) GSRMv1.2
-180.000000 -54.000000 -31.02 29.37 PA(NNR) GSRMv1.2
-180.000000 -52.000000 -33.04 29.38 PA(NNR) GSRMv1.2
-180.000000 -50.000000 -35.02 29.38 PA(NNR) GSRMv1.2
-180.000000 -48.000000 -36.95 29.38 PA(NNR) GSRMv1.2
-180.000000 -46.000000 -38.84 29.39 PA(NNR) GSRMv1.2
-180.000000 -44.000000 -40.68 29.39 PA(NNR) GSRMv1.2
-180.000000 -42.000000 -42.48 29.39 PA(NNR) GSRMv1.2
-180.000000 -40.000000 -44.22 29.40 PA(NNR) GSRMv1.2
-180.000000 -38.000000 -45.90 29.40 PA(NNR) GSRMv1.2
-180.000000 -36.000000 4.49 34.12 AU(NNR) GSRMv1.2
-180.000000 -34.000000 6.59 34.12 AU(NNR) GSRMv1.2
-180.000000 -32.000000 8.67 34.12 AU(NNR) GSRMv1.2
-180.000000 -30.000000 10.75 34.13 AU(NNR) GSRMv1.2
-180.000000 -28.000000 12.81 34.13 AU(NNR) GSRMv1.2
-180.000000 -26.000000 14.85 34.13 AU(NNR) GSRMv1.2
-180.000000 -24.000000 16.88 34.14 AU(NNR) GSRMv1.2
-180.000000 -22.000000 18.89 34.14 AU(NNR) GSRMv1.2
-180.000000 -20.000000 20.87 34.14 AU(NNR) GSRMv1.2
-180.000000 -18.000000 22.83 34.14 AU(NNR) GSRMv1.2
-180.000000 -16.000000 24.76 34.15 AU(NNR) GSRMv1.2
-180.000000 -14.000000 -61.24 29.43 PA(NNR) GSRMv1.2
-180.000000 -12.000000 -62.07 29.43 PA(NNR) GSRMv1.2
-180.000000 -10.000000 -62.82 29.43 PA(NNR) GSRMv1.2
-180.000000 -8.000000 -63.50 29.44 PA(NNR) GSRMv1.2
-180.000000 -6.000000 -64.09 29.44 PA(NNR) GSRMv1.2
-180.000000 -4.000000 -64.61 29.44 PA(NNR) GSRMv1.2
-180.000000 -2.000000 -65.05 29.44 PA(NNR) GSRMv1.2
-180.000000 0.000000 -65.42 29.44 PA(NNR) GSRMv1.2
-180.000000 2.000000 -65.70 29.44 PA(NNR) GSRMv1.2
-180.000000 4.000000 -65.91 29.44 PA(NNR) GSRMv1.2
-180.000000 6.000000 -66.03 29.44 PA(NNR) GSRMv1.2
-180.000000 8.000000 -66.08 29.44 PA(NNR) GSRMv1.2
-180.000000 10.000000 -66.04 29.43 PA(NNR) GSRMv1.2
-180.000000 12.000000 -65.92 29.43 PA(NNR) GSRMv1.2
-180.000000 14.000000 -65.73 29.43 PA(NNR) GSRMv1.2
-180.000000 16.000000 -65.45 29.43 PA(NNR) GSRMv1.2
-180.000000 18.000000 -65.10 29.43 PA(NNR) GSRMv1.2
-180.000000 20.000000 -64.67 29.43 PA(NNR) GSRMv1.2
-180.000000 22.000000 -64.16 29.42 PA(NNR) GSRMv1.2
-180.000000 24.000000 -63.57 29.42 PA(NNR) GSRMv1.2
-180.000000 26.000000 -62.90 29.42 PA(NNR) GSRMv1.2
