longitude_degE latitude_degN Evel_mmyr Nvel_mmyr plate_reference model
-180.000000 -90.000000 8.29 -9.62 AN(NNR) ITRF2020
-180.000000 -88.000000 9.02 -9.62 AN(NNR) ITRF2020
-180.000000 -86.000000 9.74 -9.62 AN(NNR) ITRF2020
-180.000000 -84.000000 10.44 -9.62 AN(NNR) ITRF2020
-180.000000 -82.000000 11.14 -9.62 AN(NNR) ITRF2020
-180.000000 -80.000000 11.82 -9.62 AN(NNR) ITRF2020
-180.000000 -78.000000 12.48 -9.62 AN(NNR) ITRF2020
-180.000000 -76.000000 13.13 -9.62 AN(NNR) ITRF2020
-180.000000 -74.000000 13.76 -9.62 AN(NNR) ITRF2020
-180.000000 -72.000000 14.38 -9.62 AN(NNR) ITRF2020
-180.000000 -70.000000 14.98 -9.62 AN(NNR) ITRF2020
-180.000000 -68.000000 15.56 -9.62 AN(NNR) ITRF2020
-180.000000 -66.000000 16.12 -9.62 AN(NNR) ITRF2020
-180.000000 -64.000000 -18.09 31.49 PA(NNR) ITRF2020
-180.000000 -62.000000 -20.37 31.49 PA(NNR) ITRF2020
-180.000000 -60.000000 -22.61 31.49 PA(NNR) ITRF2020
-180.000000 -58.000000 -24.83 31.50 PA(NNR) ITRF2020
-180.000000 -56.000000 -27.02 31.50 PA(NNR) ITRF2020
-180.000000 -54.000000 -29.18 31.50 PA(NNR) ITRF2020
-180.000000 -52.000000 -31.29 31.51 PA(NNR) ITRF2020
-180.000000 -50.000000 -33.37 31.51 PA(NNR) ITRF2020
-180.000000 -48.000000 -35.41 31.51 PA(NNR) ITRF2020
-180.000000 -46.000000 -37.41 31.52 PA(NNR) ITRF2020
-180.000000 -44.000000 -39.36 31.52 PA(NNR) ITRF2020
-180.000000 -42.000000 -41.26 31.52 PA(NNR) ITRF2020
-180.000000 -40.000000 -43.11 31.53 PA(NNR) ITRF2020
-180.000000 -38.000000 -44.90 31.53 PA(NNR) ITRF2020
-180.000000 -36.000000 3.75 36.29 AU(NNR) ITRF2020
-180.000000 -34.000000 5.82 36.30 AU(NNR) ITRF2020
-180.000000 -32.000000 7.88 36.30 AU(NNR) ITRF2020
-180.000000 -30.000000 9.92 36.30 AU(NNR) ITRF2020
-180.000000 -28.000000 11.96 36.31 AU(NNR) ITRF2020
-180.000000 -26.000000 13.98 36.31 AU(NNR) ITRF2020
-180.000000 -24.000000 15.98 36.31 AU(NNR) ITRF2020
-180.000000 -22.000000 17.96 36.32 AU(NNR) ITRF2020
-180.000000 -20.000000 19.92 36.32 AU(NNR) ITRF2020
-180.000000 -18.000000 21.86 36.32 AU(NNR) ITRF2020
-180.000000 -16.000000 23.77 36.32 AU(NNR) ITRF2020
-180.000000 -14.000000 -61.64 31.57 PA(NNR) ITRF2020
-180.000000 -12.000000 -62.58 31.57 PA(NNR) ITRF2020
-180.000000 -10.000000 -63.45 31.57 PA(NNR) ITRF2020
-180.000000 -8.000000 -64.24 31.57 PA(NNR) ITRF2020
-180.000000 -6.000000 -64.95 31.57 PA(NNR) ITRF2020
-180.000000 -4.000000 -65.58 31.57 PA(NNR) ITRF2020
-180.000000 -2.000000 -66.13 31.57 PA(NNR) ITRF2020
-180.000000 0.000000 -66.61 31.57 PA(NNR) ITRF2020
-180.000000 2.000000 -67.00 31.57 PA(NNR) ITRF2020
-180.000000 4.000000 -67.31 31.57 PA(NNR) ITRF2020
-180.000000 6.000000 -67.54 31.57 PA(NNR) ITRF2020
-180.000000 8.000000 -67.69 31.57 PA(NNR) ITRF2020
-180.000000 10.000000 -67.76 31.57 PA(NNR) ITRF2020
-180.000000 12.000000 -67.74 31.57 PA(NNR) ITRF2020
-180.000000 14.000000 -67.64 31.57 PA(NNR) ITRF2020
-180.000000 16.000000 -67.46 31.56 PA(NNR) ITRF2020
-180.000000 18.000000 -67.20 31.56 PA(NNR) ITRF2020
-180.000000 20.000000 -66.86 31.56 PA(NNR) ITRF2020
-180.000000 22.000000 -66.44 31.56 PA(NNR) ITRF2020
-180.000000 24.000000 -65.93 31.55 PA(NNR) ITRF2020
-180.000000 26.000000 -65.35 31.55 PA(NNR) ITRF2020
-180.000000 28.000000 -64.68 31.55 PA(NNR) ITRF2020
-180.000000 30.000000 -63.94 31.55 PA(NNR) ITRF2020
-180.000000 32.000000 -63.12 31.54 PA(NNR) ITRF2020
-180.000000 34.000000 -62.22 31.54 PA(NNR) ITRF2020
-180.000000 36.000000 -61.25 31.53 PA(NNR) ITRF2020
-180.000000 38.000000 -60.20 31.53 PA(NNR) ITRF2020
-180.000000 40.000000 -59.08 31.53 PA(NNR) ITRF2020
-180.000000 42.000000 -57.89 31.52 PA(NNR) ITRF2020
-180.000000 44.000000 -56.62 31.52 PA(NNR) ITRF2020
-180.000000 46.000000 -55.29 31.52 PA(NNR) ITRF2020
-180.000000 48.000000 -53.89 31.51 PA(NNR) ITRF2020
-180.000000 50.000000 -52.42 31.51 PA(NNR) ITRF2020
-180.000000 52.000000 -0.78 -20.55 NA(NNR) ITRF2020
-180.000000 54.000000 -0.66 -20.55 NA(NNR) ITRF2020
-180.000000 56.000000 -0.55 -20.55 NA(NNR) ITRF2020
-180.000000 58.000000 -0.43 -20.54 NA(NNR) ITRF2020
-180.000000 60.000000 -0.32 -20.54 NA(NNR) ITRF2020
-180.000000 62.000000 -0.20 -20.54 NA(NNR) ITRF2020
-180.000000 64.000000 -0.09 -20.54 NA(NNR) ITRF2020
-180.000000 66.000000 0.03 -20.54 NA(NNR) ITRF2020
-180.000000 68.000000 0.15 -20.53 NA(NNR) ITRF2020
-180.000000 70.000000 0.26 -20.53 NA(NNR) ITRF2020
-180.000000 72.000000 0.38 -20.53 NA(NNR) ITRF2020
-180.000000 74.000000 0.49 -20.53 NA(NNR) ITRF2020
-180.000000 76.000000 0.61 -20.53 NA(NNR) ITRF2020
-180.000000 78.000000 0.72 -20.53 NA(NNR) ITRF2020
-180.000000 80.000000 0.84 -20.53 NA(NNR) ITRF2020
-180.000000 82.000000 0.95 -20.53 NA(NNR) ITRF2020
-180.000000 84.000000 1.06 -20.53 NA(NNR) ITRF2020
-180.000000 86.000000 1.17 -20.53 NA(NNR) ITRF2020
-180.000000 88.000000 1.28 -20.53 NA(NNR) ITRF2020
-180.000000 90.000000 1.39 -20.53 NA(NNR) ITRF2020
-178.000000 -90.000000 8.62 -9.32 AN(NNR) ITRF2020
-178.000000 -88.000000 9.35 -9.32 AN(NNR) ITRF2020
-178.000000 -86.000000 10.07 -9.32 AN(NNR) ITRF2020
-178.000000 -84.000000 10.77 -9.32 AN(NNR) ITRF2020
-178.000000 -82.000000 11.46 -9.32 AN(NNR) ITRF2020
-178.000000 -80.000000 12.14 -9.32 AN(NNR) ITRF2020
-178.000000 -78.000000 12.80 -9.32 AN(NNR) ITRF2020
-178.000000 -76.000000 13.45 -9.32 AN(NNR) ITRF2020
-178.000000 -74.000000 14.08 -9.32 AN(NNR) ITRF2020
-178.000000 -72.000000 14.69 -9.32 AN(NNR) ITRF2020
