longitude_degE latitude_degN Evel_mmyr Nvel_mmyr plate_reference model
-180.000000 -90.000000 5.43 -10.18 AN(NNR) MORVEL2010
-180.000000 -88.000000 6.32 -10.18 AN(NNR) MORVEL2010
-180.000000 -86.000000 7.19 -10.18 AN(NNR) MORVEL2010
-180.000000 -84.000000 8.06 -10.18 AN(NNR) MORVEL2010
-180.000000 -82.000000 8.92 -10.18 AN(NNR) MORVEL2010
-180.000000 -80.000000 9.76 -10.18 AN(NNR) MORVEL2010
-180.000000 -78.000000 10.59 -10.18 AN(NNR) MORVEL2010
-180.000000 -76.000000 11.41 -10.18 AN(NNR) MORVEL2010
-180.000000 -74.000000 12.22 -10.18 AN(NNR) MORVEL2010
-180.000000 -72.000000 13.01 -10.18 AN(NNR) MORVEL2010
-180.000000 -70.000000 13.79 -10.18 AN(NNR) MORVEL2010
-180.000000 -68.000000 14.54 -10.18 AN(NNR) MORVEL2010
-180.000000 -66.000000 15.28 -10.18 AN(NNR) MORVEL2010
-180.000000 -64.000000 -16.46 29.22 PA(NNR) MORVEL2010
-180.000000 -62.000000 -18.70 29.22 PA(NNR) MORVEL2010
-180.000000 -60.000000 -20.91 29.22 PA(NNR) MORVEL2010
-180.000000 -58.000000 -23.09 29.22 PA(NNR) MORVEL2010
-180.000000 -56.000000 -25.25 29.23 PA(NNR) MORVEL2010
-180.000000 -54.000000 -27.37 29.23 PA(NNR) MORVEL2010
-180.000000 -52.000000 -29.46 29.23 PA(NNR) MORVEL2010
-180.000000 -50.000000 -31.52 29.24 PA(NNR) MORVEL2010
-180.000000 -48.000000 -33.54 29.24 PA(NNR) MORVEL2010
-180.000000 -46.000000 -35.51 29.24 PA(NNR) MORVEL2010
-180.000000 -44.000000 -37.44 29.25 PA(NNR) MORVEL2010
-180.000000 -42.000000 -39.33 29.25 PA(NNR) MORVEL2010
-180.000000 -40.000000 -41.16 29.25 PA(NNR) MORVEL2010
-180.000000 -38.000000 -42.95 29.26 PA(NNR) MORVEL2010
-180.000000 -36.000000 4.82 35.86 AU(NNR) MORVEL2010
-180.000000 -34.000000 6.91 35.86 AU(NNR) MORVEL2010
-180.000000 -32.000000 8.99 35.86 AU(NNR) MORVEL2010
-180.000000 -30.000000 11.07 35.87 AU(NNR) MORVEL2010
-180.000000 -28.000000 13.13 35.87 AU(NNR) MORVEL2010
-180.000000 -26.000000 15.17 35.87 AU(NNR) MORVEL2010
-180.000000 -24.000000 17.20 35.88 AU(NNR) MORVEL2010
-180.000000 -22.000000 19.20 35.88 AU(NNR) MORVEL2010
-180.000000 -20.000000 21.18 35.88 AU(NNR) MORVEL2010
-180.000000 -18.000000 23.13 35.89 AU(NNR) MORVEL2010
-180.000000 -16.000000 25.06 35.89 AU(NNR) MORVEL2010
-180.000000 -14.000000 -59.73 29.29 PA(NNR) MORVEL2010
-180.000000 -12.000000 -60.70 29.29 PA(NNR) MORVEL2010
-180.000000 -10.000000 -61.58 29.29 PA(NNR) MORVEL2010
-180.000000 -8.000000 -62.40 29.29 PA(NNR) MORVEL2010
-180.000000 -6.000000 -63.14 29.29 PA(NNR) MORVEL2010
-180.000000 -4.000000 -63.80 29.29 PA(NNR) MORVEL2010
-180.000000 -2.000000 -64.38 29.30 PA(NNR) MORVEL2010
-180.000000 0.000000 -64.89 29.30 PA(NNR) MORVEL2010
-180.000000 2.000000 -65.32 29.30 PA(NNR) MORVEL2010
-180.000000 4.000000 -65.66 29.29 PA(NNR) MORVEL2010
-180.000000 6.000000 -65.93 29.29 PA(NNR) MORVEL2010
-180.000000 8.000000 -66.12 29.29 PA(NNR) MORVEL2010
-180.000000 10.000000 -66.23 29.29 PA(NNR) MORVEL2010
-180.000000 12.000000 -66.26 29.29 PA(NNR) MORVEL2010
-180.000000 14.000000 -66.21 29.29 PA(NNR) MORVEL2010
-180.000000 16.000000 -66.08 29.29 PA(NNR) MORVEL2010
-180.000000 18.000000 -65.87 29.29 PA(NNR) MORVEL2010
-180.000000 20.000000 -65.58 29.28 PA(NNR) MORVEL2010
-180.000000 22.000000 -65.21 29.28 PA(NNR) MORVEL2010
-180.000000 24.000000 -64.76 29.28 PA(NNR) MORVEL2010
-180.000000 26.000000 -64.23 29.28 PA(NNR) MORVEL2010
-180.000000 28.000000 -63.62 29.27 PA(NNR) MORVEL2010
-180.000000 30.000000 -62.94 29.27 PA(NNR) MORVEL2010
-180.000000 32.000000 -62.18 29.27 PA(NNR) MORVEL2010
-180.000000 34.000000 -61.34 29.26 PA(NNR) MORVEL2010
-180.000000 36.000000 -60.43 29.26 PA(NNR) MORVEL2010
-180.000000 38.000000 -59.45 29.26 PA(NNR) MORVEL2010
-180.000000 40.000000 -58.39 29.25 PA(NNR) MORVEL2010
-180.000000 42.000000 -57.26 29.25 PA(NNR) MORVEL2010
-180.000000 44.000000 -56.06 29.25 PA(NNR) MORVEL2010
-180.000000 46.000000 -54.80 29.24 PA(NNR) MORVEL2010
-180.000000 48.000000 -53.46 29.24 PA(NNR) MORVEL2010
-180.000000 50.000000 -52.06 29.24 PA(NNR) MORVEL2010
-180.000000 52.000000 1.74 -22.79 NA(NNR) MORVEL2010
-180.000000 54.000000 1.87 -22.79 NA(NNR) MORVEL2010
-180.000000 56.000000 2.00 -22.79 NA(NNR) MORVEL2010
-180.000000 58.000000 2.13 -22.79 NA(NNR) MORVEL2010
-180.000000 60.000000 2.26 -22.78 NA(NNR) MORVEL2010
-180.000000 62.000000 2.38 -22.78 NA(NNR) MORVEL2010
-180.000000 64.000000 2.50 -22.78 NA(NNR) MORVEL2010
-180.000000 66.000000 2.62 -22.78 NA(NNR) MORVEL2010
-180.000000 68.000000 2.74 -22.78 NA(NNR) MORVEL2010
-180.000000 70.000000 2.85 -22.77 NA(NNR) MORVEL2010
-180.000000 72.000000 2.96 -22.77 NA(NNR) MORVEL2010
-180.000000 74.000000 3.06 -22.77 NA(NNR) MORVEL2010
-180.000000 76.000000 3.16 -22.77 NA(NNR) MORVEL2010
-180.000000 78.000000 3.26 -22.77 NA(NNR) MORVEL2010
-180.000000 80.000000 3.35 -22.77 NA(NNR) MORVEL2010
-180.000000 82.000000 3.44 -22.77 NA(NNR) MORVEL2010
-180.000000 84.000000 3.52 -22.77 NA(NNR) MORVEL2010
-180.000000 86.000000 3.60 -22.76 NA(NNR) MORVEL2010
-180.000000 88.000000 3.68 -22.76 NA(NNR) MORVEL2010
-180.000000 90.000000 3.75 -22.76 NA(NNR) MORVEL2010
-178.000000 -90.000000 5.79 -9.98 AN(NNR) MORVEL2010
-178.000000 -88.000000 6.67 -9.98 AN(NNR) MORVEL2010
-178.000000 -86.000000 7.54 -9.98 AN(NNR) MORVEL2010
-178.000000 -84.000000 8.41 -9.98 AN(NNR) MORVEL2010
-178.000000 -82.000000 9.26 -9.98 AN(NNR) MORVEL2010
-178.000000 -80.000000 10.11 -9.98 AN(NNR) MORVEL2010
-178.000000 -78.000000 10.94 -9.98 AN(NNR) MORVEL2010
-178.000000 -76.000000 11.76 -9.98 AN(NNR) MORVEL2010
-178.000000 -74.000000 12.56 -9.98 AN(NNR) MORVEL2010
-178.000000 -72.000000 13.35 -9.98 AN(NNR) MORVEL2010
-178.000000 -70.000000 14.12 -9.98 AN(NNR) MORVEL2010
-178.000000 -68.000000 14.87 -9.98 AN(NNR) MORVEL2010
-178.000000 -66.000000 -15.14 29.66 PA(NNR) MORVEL2010
-178.000000 -64.000000 -17.38 29.67 PA(NNR) MORVEL2010
-178.000000 -62.000000 -19.60 29.67 PA(NNR) MORVEL2010
-178.000000 -60.000000 -21.80 29.67 PA(NNR) MORVEL2010
-178.000000 -58.000000 -23.96 29.68 PA(NNR) MORVEL2010
-178.000000 -56.000000 -26.10 29.68 PA(NNR) MORVEL2010
-178.000000 -54.000000 -28.20 29.68 PA(NNR) MORVEL2010
-178.000000 -52.000000 -30.27 29.69 PA(NNR) MORVEL2010
-178.000000 -50.000000 -32.30 29.69 PA(NNR) MORVEL2010
-178.000000 -48.000000 -34.30 29.69 PA(NNR) MORVEL2010
-178.000000 -46.000000 -36.25 29.70 PA(NNR) MORVEL2010
-178.000000 -44.000000 -38.15 29.70 PA(NNR) MORVEL2010
-178.000000 -42.000000 -40.01 29.70 PA(NNR) MORVEL2010
-178.000000 -40.000000 -41.82 29.71 PA(NNR) MORVEL2010
-178.000000 -38.000000 -43.58 29.71 PA(NNR) MORVEL2010
-178.000000 -36.000000 -45.28 29.71 PA(NNR) MORVEL2010
-178.000000 -34.000000 -46.93 29.72 PA(NNR) MORVEL2010
-178.000000 -32.000000 8.35 34.24 AU(NNR) MORVEL2010
-178.000000 -30.000000 10.46 34.24 AU(NNR) MORVEL2010
-178.000000 -28.000000 12.56 34.24 AU(NNR) MORVEL2010
-178.000000 -26.000000 14.64 34.25 AU(NNR) MORVEL2010
-178.000000 -24.000000 16.70 34.25 AU(NNR) MORVEL2010
-178.000000 -22.000000 18.74 34.25 AU(NNR) MORVEL2010
-178.000000 -20.000000 20.76 34.26 AU(NNR) MORVEL2010
-178.000000 -18.000000 22.76 34.26 AU(NNR) MORVEL2010
-178.000000 -16.000000 24.72 34.26 AU(NNR) MORVEL2010
-178.000000 -14.000000 -59.98 29.74 PA(NNR) MORVEL2010
-178.000000 -12.000000 -60.91 29.74 PA(NNR) MORVEL2010
-178.000000 -10.000000 -61.76 29.74 PA(NNR) MORVEL2010
-178.000000 -8.000000 -62.54 29.75 PA(NNR) MORVEL2010
-178.000000 -6.000000 -63.24 29.75 PA(NNR) MORVEL2010
-178.000000 -4.000000 -63.87 29.75 PA(NNR) MORVEL2010
-178.000000 -2.000000 -64.42 29.75 PA(NNR) MORVEL2010
-178.000000 0.000000 -64.89 29.75 PA(NNR) MORVEL2010
-178.000000 2.000000 -65.28 29.75 PA(NNR) MORVEL2010
-178.000000 4.000000 -65.59 29.75 PA(NNR) MORVEL2010
-178.000000 6.000000 -65.83 29.75 PA(NNR) MORVEL2010
-178.000000 8.000000 -65.98 29.75 PA(NNR) MORVEL2010
-178.000000 10.000000 -66.05 29.74 PA(NNR) MORVEL2010
-178.000000 12.000000 -66.05 29.74 PA(NNR) MORVEL2010
-178.000000 14.000000 -65.96 29.74 PA(NNR) MORVEL2010
-178.000000 16.000000 -65.80 29.74 PA(NNR) MORVEL2010
-178.000000 18.000000 -65.55 29.74 PA(NNR) MORVEL2010
-178.000000 20.000000 -65.23 29.74 PA(NNR) MORVEL2010
-178.000000 22.000000 -64.82 29.73 PA(NNR) MORVEL2010
-178.000000 24.000000 -64.34 29.73 PA(NNR) MORVEL2010
-178.000000 26.000000 -63.78 29.73 PA(NNR) MORVEL2010
-178.000000 28.000000 -63.14 29.73 PA(NNR) MORVEL2010
-178.000000 30.000000 -62.43 29.72 PA(NNR) MORVEL2010
-178.000000 32.000000 -61.64 29.72 PA(NNR) MORVEL2010
-178.000000 34.000000 -60.77 29.72 PA(NNR) MORVEL2010
-178.000000 36.000000 -59.83 29.71 PA(NNR) MORVEL2010
-178.000000 38.000000 -58.82 29.71 PA(NNR) MORVEL2010
-178.000000 40.000000 -57.73 29.71 PA(NNR) MORVEL2010
-178.000000 42.000000 -56.58 29.70 PA(NNR) MORVEL2010
-178.000000 44.000000 -55.35 29.70 PA(NNR) MORVEL2010
-178.000000 46.000000 -54.06 29.70 PA(NNR) MORVEL2010
-178.000000 48.000000 -52.70 29.69 PA(NNR) MORVEL2010
-178.000000 50.000000 -51.28 29.69 PA(NNR) MORVEL2010
-178.000000 52.000000 1.11 -22.91 NA(NNR) MORVEL2010
-178.000000 54.000000 1.23 -22.91 NA(NNR) MORVEL2010
-178.000000 56.000000 1.34 -22.91 NA(NNR) MORVEL2010
-178.000000 58.000000 1.46 -22.90 NA(NNR) MORVEL2010
-178.000000 60.000000 1.57 -22.90 NA(NNR) MORVEL2010
-178.000000 62.000000 1.68 -22.90 NA(NNR) MORVEL2010
-178.000000 64.000000 1.79 -22.90 NA(NNR) MORVEL2010
-178.000000 66.000000 1.89 -22.89 NA(NNR) MORVEL2010
-178.000000 68.000000 2.00 -22.89 NA(NNR) MORVEL2010
-178.000000 70.000000 2.10 -22.89 NA(NNR) MORVEL2010
