longitude_degE latitude_degN Evel_mmyr Nvel_mmyr plate_reference model
-180.000000 -90.000000 5.44 -10.18 AN(NNR) NNR-MORVEL56
-180.000000 -88.000000 6.32 -10.18 AN(NNR) NNR-MORVEL56
-180.000000 -86.000000 7.19 -10.18 AN(NNR) NNR-MORVEL56
-180.000000 -84.000000 8.06 -10.18 AN(NNR) NNR-MORVEL56
-180.000000 -82.000000 8.92 -10.18 AN(NNR) NNR-MORVEL56
-180.000000 -80.000000 9.76 -10.18 AN(NNR) NNR-MORVEL56
-180.000000 -78.000000 10.60 -10.18 AN(NNR) NNR-MORVEL56
-180.000000 -76.000000 11.42 -10.18 AN(NNR) NNR-MORVEL56
-180.000000 -74.000000 12.22 -10.18 AN(NNR) NNR-MORVEL56
-180.000000 -72.000000 13.01 -10.18 AN(NNR) NNR-MORVEL56
-180.000000 -70.000000 13.79 -10.18 AN(NNR) NNR-MORVEL56
-180.000000 -68.000000 14.55 -10.18 AN(NNR) NNR-MORVEL56
-180.000000 -66.000000 15.29 -10.18 AN(NNR) NNR-MORVEL56
-180.000000 -64.000000 -16.47 29.22 PA(NNR) NNR-MORVEL56
-180.000000 -62.000000 -18.70 29.22 PA(NNR) NNR-MORVEL56
-180.000000 -60.000000 -20.91 29.22 PA(NNR) NNR-MORVEL56
-180.000000 -58.000000 -23.10 29.22 PA(NNR) NNR-MORVEL56
-180.000000 -56.000000 -25.25 29.23 PA(NNR) NNR-MORVEL56
-180.000000 -54.000000 -27.38 29.23 PA(NNR) NNR-MORVEL56
-180.000000 -52.000000 -29.47 29.23 PA(NNR) NNR-MORVEL56
-180.000000 -50.000000 -31.53 29.24 PA(NNR) NNR-MORVEL56
-180.000000 -48.000000 -33.54 29.24 PA(NNR) NNR-MORVEL56
-180.000000 -46.000000 -35.52 29.24 PA(NNR) NNR-MORVEL56
-180.000000 -44.000000 -37.45 29.25 PA(NNR) NNR-MORVEL56
-180.000000 -42.000000 -39.33 29.25 PA(NNR) NNR-MORVEL56
-180.000000 -40.000000 -41.17 29.25 PA(NNR) NNR-MORVEL56
-180.000000 -38.000000 -42.96 29.26 PA(NNR) NNR-MORVEL56
-180.000000 -36.000000 4.82 35.88 AU(NNR) NNR-MORVEL56
-180.000000 -34.000000 6.91 35.88 AU(NNR) NNR-MORVEL56
-180.000000 -32.000000 9.00 35.89 AU(NNR) NNR-MORVEL56
-180.000000 -30.000000 11.07 35.89 AU(NNR) NNR-MORVEL56
-180.000000 -28.000000 13.13 35.89 AU(NNR) NNR-MORVEL56
-180.000000 -26.000000 15.18 35.90 AU(NNR) NNR-MORVEL56
-180.000000 -24.000000 17.20 35.90 AU(NNR) NNR-MORVEL56
-180.000000 -22.000000 19.21 35.90 AU(NNR) NNR-MORVEL56
-180.000000 -20.000000 21.19 35.91 AU(NNR) NNR-MORVEL56
-180.000000 -18.000000 23.15 35.91 AU(NNR) NNR-MORVEL56
-180.000000 -16.000000 25.07 35.91 AU(NNR) NNR-MORVEL56
-180.000000 -14.000000 -59.75 29.29 PA(NNR) NNR-MORVEL56
-180.000000 -12.000000 -60.71 29.29 PA(NNR) NNR-MORVEL56
-180.000000 -10.000000 -61.60 29.29 PA(NNR) NNR-MORVEL56
-180.000000 -8.000000 -62.41 29.29 PA(NNR) NNR-MORVEL56
-180.000000 -6.000000 -63.15 29.29 PA(NNR) NNR-MORVEL56
-180.000000 -4.000000 -63.81 29.29 PA(NNR) NNR-MORVEL56
-180.000000 -2.000000 -64.39 29.29 PA(NNR) NNR-MORVEL56
-180.000000 0.000000 -64.90 29.29 PA(NNR) NNR-MORVEL56
-180.000000 2.000000 -65.33 29.29 PA(NNR) NNR-MORVEL56
-180.000000 4.000000 -65.68 29.29 PA(NNR) NNR-MORVEL56
-180.000000 6.000000 -65.95 29.29 PA(NNR) NNR-MORVEL56
-180.000000 8.000000 -66.14 29.29 PA(NNR) NNR-MORVEL56
-180.000000 10.000000 -66.24 29.29 PA(NNR) NNR-MORVEL56
-180.000000 12.000000 -66.27 29.29 PA(NNR) NNR-MORVEL56
-180.000000 14.000000 -66.22 29.29 PA(NNR) NNR-MORVEL56
-180.000000 16.000000 -66.09 29.29 PA(NNR) NNR-MORVEL56
